Dataset Alias,Component,DatasetView_id,GrantView Key,Study Key,PublicationView Key,Dataset Name,Dataset Description,Dataset Design,Dataset Assay,Dataset Species,Dataset Tumor Type,Dataset Tissue,Dataset Url,Dataset Doi,Dataset File Formats,Data Use Codes,entityId,iconTags
10.17632/5nnw8xrh5m.1,DatasetView,syn59530754,CA209997,,37922910,Anti-PD-1 immunotherapy with ADT induces robust immune infiltration in Metastatic Castration-Sensitive Prostate Cancer,"Primary prostate cancer (PC) is characterized by a relative immune desert, with low representation of tumor-infiltrating immune cell subpopulations. To test whether the tumor microenvironment (TME) of metastatic, castration-sensitive prostate cancer (mCSPC) lesions was similarly immunologically “cold”, we collected pre-treatment (baseline) metastatic core-needle biopsies from 8 patients, across 4 different metastatic niches (bone, lymph nodes, liver, and lung). We then generated scRNA-seq profiles, which were first used to perform cluster analysis. Standard gene expression-based clustering revealed 15 overall clusters across all metastatic sites, corresponding to 12 distinct immune cell subpopulations, as well as clusters comprising fibroblasts, endothelial, and epithelial cells. To address the issue of gene dropout, we utilized an established single cell analysis pipeline, which leverages the VIPER algorithm to measure protein activity from single-cell gene expression data. By assessing protein activity based on the expression of 100 transcriptional targets of each protein, VIPER significantly mitigates gene dropout effects, thus allowing detection of proteins whose encoding gene is completely undetected. Protein activity-based clustering of the scRNA-seq data revealed a much finer-grain subpopulation structure, comprising 24 distinct subpopulations, comprised mainly of immune cells but also including erythrocytes, endothelial, and three molecularly distinct transformed epithelial cell clusters (tumor cells). VIPER analysis identified three distinct clusters of transformed epithelial cells, while only a single cluster was identified using gene expression analysis. This is critical as these clusters may have different mechanisms of drug sensitivity.","Seurat object of scRNA-seq gene expression matrix, with patient ID, treatment, timepoint, and cluster metadata, as well a Seurat object of inferred VIPER protein activity, with the same metadata annotations.",Single Cell RNA-Sequencing,Human,Prostate Neoplasm,Prostate Gland,https://data.mendeley.com/datasets/5nnw8xrh5m/1,,RDS,Pending Annotation,syn52745221,expressionProfiling
10.17632/7wx3chtsxx.2,DatasetView,syn50560014,CA217376,,36289335,"Gene expression data, somatic mutation calls (VCF files from Mutect2 plus Platypus), copy-number calls (Sequenza and QDNAseq), the fraction of mutated microsatellites (MSIsensor), ATAC-seq insertion counts and allele counts of somatic SNVs in all sample types.","This collection provides processed data of the paper ""The co-evolution of the genome and epigenome in colorectal cancer"".",Not provided,"ATAC-Seq, RNA Sequencing",Human,Colon Carcinoma,Colon,https://data.mendeley.com/datasets/7wx3chtsxx,,Pending Annotation,Pending Annotation,syn52745284,"epigenomeProfiling, expressionProfiling"
10.5281/zenodo.10016027,DatasetView,syn59402128,CA217376,,38200244,Lung adenocarcinoma growth pattern annotations for H and E images,Not provided,Not provided,"Deep Learning, Imaging",Human,Lung Adenocarcinoma,Lung,https://zenodo.org/records/10016027,,Pending Annotation,Pending Annotation,syn52745284,"inSilicoModel, imaging"
10.5281/zenodo.7559353,DatasetView,syn51795038,CA225088,,36938926,INDRA assembly Benchmark Corpus,"This data set accompanies the manuscript ""Automated assembly of molecular mechanisms at scale from text mining and curated databases"" which describes assembly methodology implemented in the INDRA system (https://github.com/sorgerlab/indra). The manuscript uses an example assembly pipeline on ~570k publications as input to create the INDRA Benchmark Corpus.",This dataset provides INDRA Statements constituting the INDRA Benchmark Corpus as well as a set of curations on the corpus:- indra_benchmark_corpus.pkl: A Python pickle file of INDRA Statement objects. It requires INDRA to be installed to load in a Python environment.- indra_benchmark_corpus.json.gz: A gzipped JSON export of INDRA Statements.- indra_assembly_curations.json: The Curated Corpus of curated mentions for Statements in Benchmark Corpus as a JSON file. The JSON file contains a list with each element corresponding to a curation. Each curation entry contains a `pa_hash` and a `source_hash` attribute. These can be used to find the Statement and mention (respectively) to which the curation applies in the Benchmark Corpus.,Data Integration,Unspecified,Not Applicable,Not Applicable,https://zenodo.org/record/7559352,,"PKL, JSON",Pending Annotation,syn52745293,dataReuse
44ARAC,DatasetView,syn24985098,CA214369,,31937942,A biomaterial-based vaccine eliciting durable tumour-specific responses against acute myeloid leukaemia,Pending Annotation,Pending Annotation,Bioluminescence Imaging,Mouse,Acute Myeloid Leukemia,Bone Marrow,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/44ARAC,,Pending Annotation,Pending Annotation,syn52745304,imaging
A Network of Conserved Synthetic Lethal Interactions for Exploration of Precision Cancer Therapy,DatasetView,syn23253041,CA209891,,27453043,A Network of Conserved Synthetic Lethal Interactions for Exploration of Precision Cancer Therapy,Pending Annotation,Pending Annotation,Computational Modeling,Human,Cervical Carcinoma,Pending Annotation,http://www.ndexbio.org/#/networkset/589b8b49-61ab-11e7-a03e-0ac135e8bacf,,Pending Annotation,Pending Annotation,syn52745192,inSilicoModel
A census of pathway maps in cancer systems biology (LCpathways),DatasetView,syn23347699,CA209891,,32066900,A census of pathway maps in cancer systems biology (LCpathways),Pending Annotation,Pending Annotation,Computational Modeling,Human,Pan-cancer,Pending Annotation,http://www.ndexbio.org/#/networkset/0935961b-ec10-11ea-99da-0ac135e8bacf,,Pending Annotation,Pending Annotation,syn52745192,inSilicoModel
A census of pathway maps in cancer systems biology (SBmaps),DatasetView,syn23249526,CA209891,,32066900,A census of pathway maps in cancer systems biology (SBmaps),Pending Annotation,Pending Annotation,Computational Modeling,Human,Pan-cancer,Pending Annotation,http://www.ndexbio.org/#/networkset/d7cd3aca-ec0e-11ea-99da-0ac135e8bacf,,Pending Annotation,Pending Annotation,syn52745192,inSilicoModel
A global transcriptional network connecting noncoding mutations to changes in tumor gene expression,DatasetView,syn23249694,CA209891,,29610481,A global transcriptional network connecting noncoding mutations to changes in tumor gene expression,Pending Annotation,Pending Annotation,Computational Modeling,Human,Pan-cancer,Pending Annotation,http://www.ndexbio.org/#/networkset/3a0080d6-d1c7-11ea-8772-0ac135e8bacf,,Pending Annotation,Pending Annotation,syn52745192,inSilicoModel
Aging_human_dermal_fibroblast_nucleaus,DatasetView,syn51133659,CA210173,,33424024,Aging_human_dermal_fibroblast_nucleus_DAPI,"This image repository is for Nature Protocol paper(2020): A robust unsupervised machine learning method to quantify the morphological heterogeneity of cells and nuclei. Dataset Size: 1.96GB (Download time ~10min @ 100Mbps). Sample Size: 7 Ages : 3, 29, 35, 45, 55, 85, 96; 2 Technical repeat; 36 Images per repeat; 7 x 2 x 36 = 504 images total. Cell Count: 2300 cells; AG04054_1 = 144; AG04054_2 = 143; AG04059_1 = 213; AG04059_1 = 251; AG08904_1 = 163; AG08904_1 = 187; AG09162_1 = 100; AG09162_2 = 131; AG09558_1 = 254; AG09558_2 = 243; AG11796_1 = 137; AG11796_2 = 127; GM05565_1 = 107; GM05565_2 = 100. Analysis time with i9-10900K @4.8Ghz, CellProfiler 3.1.9, Windows 10. CellProfiler segmentation: 10min. Boundary detection from segmented image: 5min. Building the model: 4sec. Applying the model: 10sec",Not provided,Imaging,Human,Not Applicable,Skin,https://github.com/kukionfr/Aging_human_dermal_fibroblast_nucleus,,TIFF,Pending Annotation,syn52745197,imaging
