Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA274509,CSBC,"Computational Model Development, Immunotherapy",10.1073/pnas.2310281120,Proc Natl Acad Sci U S A,37603753,The essence of phase transitions in condensed matter by an information theoretic approach,https://pubmed.ncbi.nlm.nih.gov/37603753,2023,"Phase Diagrams, Thermodynamic Uncertainty Relations, Collective Transitions, Grouping Property Of Entropy, Phase Variable","T Raz, R D Levine","Our information theoretic considerations suggest that the essence of phase transitions in condensed matter is the change in entropy as reflected in the change in the number of isomers between two phases. The explicit number of isomers as a function of size is computed using a graph theoretic approach that is compared to a direct count for smaller systems. This allows us to apply a common approach to both nanosystems and their macroscopic limit. The entropy increases very rapidly with size with the results that replacing the actual distribution over size by an average is not an accurate approximation. That the phase transition is a sharp function of the temperature is due to the high heat capacity of both the solid and liquid phases. The difference in entropy at the transition is related to the Trouton-Richards considerations. The finite width of the boundary between two phases of a finite system is related to the inherent uncertainty product that is derived from the maximum entropy formalism and that is a result of the fluctuations about equilibrium. As the system size increases, the boundary becomes sharper and one recovers the usual thermodynamic description.",Pending Annotation,Pending Annotation,Pending Annotation,Pending Annotation,Restricted Access
PublicationView,CA225088,CSBC,"Microenvironment, Drug Resistance/Sensitivity",10.1186/s12916-023-02838-2,BMC Med,37069550,Three tyrosine kinase inhibitors cause cardiotoxicity by inducing endoplasmic reticulum stress and inflammation in cardiomyocytes,https://pubmed.ncbi.nlm.nih.gov/37069550,2023,"Inflammation, Cardiotoxicity, Tyrosine kinase inhibitor, endoplasmic reticulum stress, Transcriptomics","Huan Wang, Yiming Wang, Jiongyuan Li, Ziyi He, Sarah A Boswell, Mirra Chung, Fuping You, Sen Han","Background: Tyrosine kinase inhibitors (TKIs) are anti-cancer therapeutics often prescribed for long-term treatment. Many of these treatments cause cardiotoxicity with limited cure. We aim to clarify molecular mechanisms of TKI-induced cardiotoxicity so as to find potential targets for treating the adverse cardiac complications. Methods: Eight TKIs with different levels of cardiotoxicity reported are selected. Phenotypic and transcriptomic responses of human cardiomyocytes to TKIs at varying doses and times are profiled and analyzed. Stress responses and signaling pathways that modulate cardiotoxicity induced by three TKIs are validated in cardiomyocytes and rat hearts. Results: Toxicity rank of the eight TKIs determined by measuring their effects on cell viability, contractility, and respiration is largely consistent with that derived from database or literature, indicating that human cardiomyocytes are a good cellular model for studying cardiotoxicity. When transcriptomes are measured for selected TKI treatments with different levels of toxicity in human cardiomyocytes, the data are classified into 7 clusters with mainly single-drug clusters. Drug-specific effects on the transcriptome dominate over dose-, time- or toxicity-dependent effects. Two clusters with three TKIs (afatinib, ponatinib, and sorafenib) have the top enriched pathway as the endoplasmic reticulum stress (ERS). All three TKIs induce ERS in rat primary cardiomyocytes and ponatinib activates the IRE1α-XBP1s axis downstream of ERS in the hearts of rats underwent a 7-day course of drug treatment. To look for potential triggers of ERS, we find that the three TKIs induce transient reactive oxygen species followed by lipid peroxidation. Inhibiting either PERK or IRE1α downstream of ERS blocks TKI-induced cardiac damages, represented by the induction of cardiac fetal and pro-inflammatory genes without causing more cell death. Conclusions: Our data contain rich information about phenotypic and transcriptional responses of human cardiomyocytes to eight TKIs, uncovering potential molecular mechanisms in modulating cardiotoxicity. ER stress is activated by multiple TKIs and leads to cardiotoxicity through promoting expression of pro-inflammatory factors and cardiac fetal genes. ER stress-induced inflammation is a promising therapeutic target to mitigate ponatinib- and sorafenib-induced cardiotoxicity.",Human Induced Pluripotent Stem Cell-derived Cardiomyocytes Culture,Pan-cancer,Not Applicable,GSE221595,Open Access
PublicationView,CA202123,PS-ON,"Heterogeneity, Metastasis",10.1371/journal.pcbi.1010471,PLoS Comput Biol,36996248,Development of a scoring function for comparing simulated and experimental tumor spheroids,https://pubmed.ncbi.nlm.nih.gov/36996248,2023,,"Julian Herold, Eric Behle, Jakob Rosenbauer, Jacopo Ferruzzi, Alexander Schug","Progress continues in the field of cancer biology, yet much remains to be unveiled regarding the mechanisms of cancer invasion. In particular, complex biophysical mechanisms enable a tumor to remodel the surrounding extracellular matrix (ECM), allowing cells to invade alone or collectively. Tumor spheroids cultured in collagen represent a simplified, reproducible 3D model system, which is sufficiently complex to recapitulate the evolving organization of cells and interaction with the ECM that occur during invasion. Recent experimental approaches enable high resolution imaging and quantification of the internal structure of invading tumor spheroids. Concurrently, computational modeling enables simulations of complex multicellular aggregates based on first principles. The comparison between real and simulated spheroids represents a way to fully exploit both data sources, but remains a challenge. We hypothesize that comparing any two spheroids requires first the extraction of basic features from the raw data, and second the definition of key metrics to match such features. Here, we present a novel method to compare spatial features of spheroids in 3D. To do so, we define and extract features from spheroid point cloud data, which we simulated using Cells in Silico (CiS), a high-performance framework for large-scale tissue modeling previously developed by us. We then define metrics to compare features between individual spheroids, and combine all metrics into an overall deviation score. Finally, we use our features to compare experimental data on invading spheroids in increasing collagen densities. We propose that our approach represents the basis for defining improved metrics to compare large 3D data sets. Moving forward, this approach will enable the detailed analysis of spheroids of any origin, one application of which is informing in silico spheroids based on their in vitro counterparts. This will enable both basic and applied researchers to close the loop between modeling and experiments in cancer research.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA210152,PS-ON,"Microenvironment, Metastasis",10.1038/s41467-023-40482-9,Nat Commun,37558722,Molecular insights into intrinsic transducer-coupling bias in the CXCR4-CXCR7 system,https://pubmed.ncbi.nlm.nih.gov/37558722,2023,,"Parishmita Sarma, Carlo Marion C Carino, Deeksha Seetharama, Shubhi Pandey, Hemlata Dwivedi-Agnihotri, Xue Rui, Yubo Cao, Kouki Kawakami, Poonam Kumari, Yu-Chih Chen, Kathryn E Luker, Prem N Yadav, Gary D Luker, Stéphane A Laporte, Xin Chen, Asuka Inoue, Arun K Shukla","Chemokine receptors constitute an important subfamily of G protein-coupled receptors (GPCRs), and they are critically involved in a broad range of immune response mechanisms. Ligand promiscuity among these receptors makes them an interesting target to explore multiple aspects of biased agonism. Here, we comprehensively characterize two chemokine receptors namely, CXCR4 and CXCR7, in terms of their transducer-coupling and downstream signaling upon their stimulation by a common chemokine agonist, CXCL12, and a small molecule agonist, VUF11207. We observe that CXCR7 lacks G-protein-coupling while maintaining robust βarr recruitment with a major contribution of GRK5/6. On the other hand, CXCR4 displays robust G-protein activation as expected but exhibits significantly reduced βarr-coupling compared to CXCR7. These two receptors induce distinct βarr conformations even when activated by the same agonist, and CXCR7, unlike CXCR4, fails to activate ERK1/2 MAP kinase. We also identify a key contribution of a single phosphorylation site in CXCR7 for βarr recruitment and endosomal localization. Our study provides molecular insights into intrinsic-bias encoded in the CXCR4-CXCR7 system with broad implications for drug discovery.","Cell Culture, Chemotaxis Assay


","Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",Breast,Not Applicable,Open Access
PublicationView,"CA209975, CA274492",CSBC,"Metastasis, Tumor-Immune, Microenvironment, Drug Resistance/Sensitivity, Computational Model Development, Immunotherapy",10.1126/science.add5327,Science,37167403,Epigenetic plasticity cooperates with cell-cell interactions to direct pancreatic tumorigenesis,https://pubmed.ncbi.nlm.nih.gov/37167403,2023,,"Cassandra Burdziak, Direna Alonso-Curbelo, Thomas Walle, José Reyes, Francisco M Barriga, Doron Haviv, Yubin Xie, Zhen Zhao, Chujun Julia Zhao, Hsuan-An Chen, Ojasvi Chaudhary, Ignas Masilionis, Zi-Ning Choo, Vianne Gao, Wei Luan, Alexandra Wuest, Yu-Jui Ho, Yuhong Wei, Daniela F Quail, Richard Koche, Linas Mazutis, Ronan Chaligné, Tal Nawy, Scott W Lowe, Dana Pe'er","The response to tumor-initiating inflammatory and genetic insults can vary among morphologically indistinguishable cells, suggesting as yet uncharacterized roles for epigenetic plasticity during early neoplasia. To investigate the origins and impact of such plasticity, we performed single-cell analyses on normal, inflamed, premalignant, and malignant tissues in autochthonous models of pancreatic cancer. We reproducibly identified heterogeneous cell states that are primed for diverse, late-emerging neoplastic fates and linked these to chromatin remodeling at cell-cell communication loci. Using an inference approach, we revealed signaling gene modules and tissue-level cross-talk, including a neoplasia-driving feedback loop between discrete epithelial and immune cell populations that was functionally validated in mice. Our results uncover a neoplasia-specific tissue-remodeling program that may be exploited for pancreatic cancer interception.","Single Cell ATAC-Seq, Single Cell RNA-Sequencing, Hematoxylin and Eosin Staining Method, Immunohistochemistry Staining Method, smFISH",Pancreatic Neoplasm,Not Applicable,GSE207943,Open Access
PublicationView,CA274502,CSBC,"Computational Resource, Heterogeneity",10.1038/s41598-023-33329-2,Sci Rep,37169829,Multimodal perturbation analyses of cyclin-dependent kinases reveal a network of synthetic lethalities associated with cell-cycle regulation and transcriptional regulation,https://pubmed.ncbi.nlm.nih.gov/37169829,2023,,"Kyle Ford, Brenton P Munson, Samson H Fong, Rebecca Panwala, Wai Keung Chu, Joseph Rainaldi, Nongluk Plongthongkum, Vinayagam Arunachalam, Jarek Kostrowicki, Dario Meluzzi, Jason F Kreisberg, Kristen Jensen-Pergakes, Todd VanArsdale, Thomas Paul, Pablo Tamayo, Kun Zhang, Jadwiga Bienkowska, Prashant Mali, Trey Ideker","Cell-cycle control is accomplished by cyclin-dependent kinases (CDKs), motivating extensive research into CDK targeting small-molecule drugs as cancer therapeutics. Here we use combinatorial CRISPR/Cas9 perturbations to uncover an extensive network of functional interdependencies among CDKs and related factors, identifying 43 synthetic-lethal and 12 synergistic interactions. We dissect CDK perturbations using single-cell RNAseq, for which we develop a novel computational framework to precisely quantify cell-cycle effects and diverse cell states orchestrated by specific CDKs. While pairwise disruption of CDK4/6 is synthetic-lethal, only CDK6 is required for normal cell-cycle progression and transcriptional activation. Multiple CDKs (CDK1/7/9/12) are synthetic-lethal in combination with PRMT5, independent of cell-cycle control. In-depth analysis of mRNA expression and splicing patterns provides multiple lines of evidence that the CDK-PRMT5 dependency is due to aberrant transcriptional regulation resulting in premature termination. These inter-dependencies translate to drug-drug synergies, with therapeutic implications in cancer and other diseases.","CRISPR, Single Cell RNA-Sequencing, CUT&Tag-Sequencing ",Breast Adenocarcinoma,Breast,"GSE218629 GSE227432, PRJNA945412",Open Access
PublicationView,,,,10.3390/cancers15133446,Cancers (Basel),37444556,Systematic Assessment of Small RNA Profiling in Human Extracellular Vesicles,https://pubmed.ncbi.nlm.nih.gov/37444556,2023,"Quality control, Extracellular Vesicles, Small Rna-seq, Technical Biases, Rna Composition, Small Rna Profiling Of Evs, Rna Biotypes Enrichment","Jing Wang, Hua-Chang Chen, Quanhu Sheng, T Renee Dawson, Robert J Coffey, James G Patton, Alissa M Weaver, Yu Shyr, Qi Liu","Motivation: Extracellular vesicles (EVs) are produced and released by most cells and are now recognized to play a role in intercellular communication through the delivery of molecular cargo, including proteins, lipids, and RNA. Small RNA sequencing (small RNA-seq) has been widely used to characterize the small RNA content in EVs. However, there is a lack of a systematic assessment of the quality, technical biases, RNA composition, and RNA biotypes enrichment for small RNA profiling of EVs across cell types, biofluids, and conditions. Methods: We collected and reanalyzed small RNA-seq datasets for 2756 samples from 83 studies involving 55 with EVs only and 28 with both EVs and matched donor cells. We assessed their quality by the total number of reads after adapter trimming, the overall alignment rate to the host and non-host genomes, and the proportional abundance of total small RNA and specific biotypes, such as miRNA, tRNA, rRNA, and Y RNA. Results: We found that EV extraction methods varied in their reproducibility in isolating small RNAs, with effects on small RNA composition. Comparing proportional abundances of RNA biotypes between EVs and matched donor cells, we discovered that rRNA and tRNA fragments were relatively enriched, but miRNAs and snoRNA were depleted in EVs. Except for the export of eight miRNAs being context-independent, the selective release of most miRNAs into EVs was study-specific. Conclusion: This work guides quality control and the selection of EV isolation methods and enhances the interpretation of small RNA contents and preferential loading in EVs.",RNA Sequencing,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA268084,CCBIR,"Platform Development, Epigenetics, Computational Model Development",10.1038/s41598-023-40550-6,Sci Rep,37608214,Early detection of lung cancer using artificial intelligence-enhanced optical nanosensing of chromatin alterations in field carcinogenesis,https://pubmed.ncbi.nlm.nih.gov/37608214,2023,,"Ali Daneshkhah, Sravya Prabhala, Parvathi Viswanathan, Hariharan Subramanian, Jianan Lin, Andrew S Chang, Ankit Bharat, Hemant Kumar Roy, Vadim Backman","Supranucleosomal chromatin structure, including chromatin domain conformation, is involved in the regulation of gene expression and its dysregulation has been associated with carcinogenesis. Prior studies have shown that cells in the buccal mucosa carry a molecular signature of lung cancer among the cigarette-smoking population, the phenomenon known as field carcinogenesis or field of injury. Thus, we hypothesized that chromatin structural changes in buccal mucosa can be predictive of lung cancer. However, the small size of the chromatin chain (approximately 20 nm) folded into chromatin packing domains, themselves typically below 300 nm in diameter, preclude the detection of alterations in intradomain chromatin conformation using diffraction-limited optical microscopy. In this study, we developed an optical spectroscopic statistical nanosensing technique to detect chromatin packing domain changes in buccal mucosa as a lung cancer biomarker: chromatin-sensitive partial wave spectroscopic microscopy (csPWS). Artificial intelligence (AI) was applied to csPWS measurements of chromatin alterations to enhance diagnostic performance. Our AI-enhanced buccal csPWS nanocytology of 179 patients at two clinical sites distinguished Stage-I lung cancer versus cancer-free controls with an area under the ROC curve (AUC) of 0.92 ± 0.06 for Site 1 (in-state location) and 0.82 ± 0.11 for Site 2 (out-of-state location).",Artificial Intelligence,Lung Adenocarcinoma,Oral Cavity,Not Applicable,Open Access
PublicationView,CA274499,CSBC,"Oncogenic Stress, Metabolism",10.1016/j.celrep.2022.111818,Cell Rep,36516772,"Opa1 and Drp1 reciprocally regulate cristae morphology, ETC function, and NAD<sup>+</sup> regeneration in KRas-mutant lung adenocarcinoma",https://pubmed.ncbi.nlm.nih.gov/36516772,2022,"Mitochondria, Cancer, Fusion, Nad, Cristae, Kras, Fission, Drp1, Opa1, Etc, Cp: Cancer","Dane T Sessions, Kee-Beom Kim, Jennifer A Kashatus, Nikolas Churchill, Kwon-Sik Park, Marty W Mayo, Hiromi Sesaki, David F Kashatus","Oncogenic KRas activates mitochondrial fission through Erk-mediated phosphorylation of the mitochondrial fission GTPase Drp1. Drp1 deletion inhibits tumorigenesis of KRas-driven pancreatic cancer, but the role of mitochondrial dynamics in other Ras-driven malignancies is poorly defined. Here we show that in vitro and in vivo growth of KRas-driven lung adenocarcinoma is unaffected by deletion of Drp1 but is inhibited by deletion of Opa1, the GTPase that regulates inner membrane fusion and proper cristae morphology. Mechanistically, Opa1 knockout disrupts cristae morphology and inhibits electron transport chain (ETC) assembly and activity, which inhibits tumor cell proliferation through loss of NAD<sup>+</sup> regeneration. Simultaneous inactivation of Drp1 and Opa1 restores cristae morphology, ETC activity, and cell proliferation indicating that mitochondrial fission activity drives ETC dysfunction induced by Opa1 knockout. Our results support a model in which mitochondrial fission events disrupt cristae structure, and tumor cells with hyperactive fission activity require Opa1 activity to maintain ETC function.","CellTiter-Glo Luminescent Cell Viability Assay, Transmission Electron Microscopy, Flow Cytometry, Plasmid Construction, Viral Transduction",Lung Adenocarcinoma,Lung,Not Applicable,Open Access
PublicationView,"CA264620, CA209978",CSBC,"Drug Resistance/Sensitivity, Heterogeneity, Evolution, Metastasis",10.1038/s41467-023-39242-6,Nat Commun,37386030,Cell facilitation promotes growth and survival under drug pressure in breast cancer,https://pubmed.ncbi.nlm.nih.gov/37386030,2023,,"Rena Emond, Jason I Griffiths, Vince Kornél Grolmusz, Aritro Nath, Jinfeng Chen, Eric F Medina, Rachel S Sousa, Timothy Synold, Frederick R Adler, Andrea H Bild","The interplay of positive and negative interactions between drug-sensitive and resistant cells influences the effectiveness of treatment in heterogeneous cancer cell populations. Here, we study interactions between estrogen receptor-positive breast cancer cell lineages that are sensitive and resistant to ribociclib-induced cyclin-dependent kinase 4 and 6 (CDK4/6) inhibition. In mono- and coculture, we find that sensitive cells grow and compete more effectively in the absence of treatment. During treatment with ribociclib, sensitive cells survive and proliferate better when grown together with resistant cells than when grown in monoculture, termed facilitation in ecology. Molecular, protein, and genomic analyses show that resistant cells increase metabolism and production of estradiol, a highly active estrogen metabolite, and increase estrogen signaling in sensitive cells to promote facilitation in coculture. Adding estradiol in monoculture provides sensitive cells with increased resistance to therapy and cancels facilitation in coculture. Under partial inhibition of estrogen signaling through low-dose endocrine therapy, estradiol supplied by resistant cells facilitates sensitive cell growth. However, a more complete blockade of estrogen signaling, through higher-dose endocrine therapy, diminished the facilitative growth of sensitive cells. Mathematical modeling quantifies the strength of competition and facilitation during CDK4/6 inhibition and predicts that blocking facilitation has the potential to control both resistant and sensitive cancer cell populations and inhibit the emergence of a refractory population during cell cycle therapy.","3D Cell Culture, Liquid Chromatography Mass Spectrometry, Western Blotting, RNA Sequencing, Single Cell RNA-Sequencing, Mathematical Modeling",Breast Adenocarcinoma,Breast,"GSE143944, GSE193278",Open Access
