Component,GrantView_id,Grant Name,Grant Number,Grant Abstract,Grant Type,Grant Theme Name,Grant Institution Name,Grant Institution Alias,Grant Investigator,Grant Consortium Name,Grant Start Date,Grant End Date,NIH RePORTER Link,Duration of Funding,Embargo End Date,Grant Synapse Team,Grant Synapse Project,Id,entityId
GrantView,CA184897,Dynamics of Gene and Isoform Regulation during EMT and tumor progression,CA184897,"The epithelial-mesenchymal transition (EMT) is a complex cell-biological program that operates during the progression of carcinoma cells to high-grade malignancy, conferring on these cells many of the attributes associated with aggressive tumors, including the ability to disseminate to distant sites and to seed metastatic colonies. This program is orchestrated by a series of pleiotropically acting master transcription factors (EMT- TFs) that organize the complex changes in gene expression causing the replacement of a large cohort of epithelial cell proteins with those associated with the mesenchymal cell state. A major, critical level of control required for expression of the aggressive mesenchymal state is poorly understood however: the precursors of many of the mRNAs whose expression changes during the EMT also undergo alternative splicing (AS) that confer on resulting mature, processed mRNAs altered properties, including changes in stability, protein-coding information, and responsiveness to microRNA-mediated inhibition. The current fragmentary insights into the effects of AS on the execution of the EMT program make it impossible to form a reasonably complete understanding of how this critical cell-biological program is affected. The proposed research will begin by enumerating the hundreds of AS events that occur in response to several alternative mechanisms of inducing an EMT program both in cultured cells and in a living tissue. Having done so, bioinformatics algorithms will be employed to determine the sequences adjacent to involved splice sites. Thereafter, using the known nucleotide-recognizing properties of the large array of already-characterized RNA- binding, splice-regulating proteins, predictions will be made by these algorithms about the identities of the splice-regulators that are likely to b responsible for the observed large-scale shifts in AS occurring during passage through an EMT. This experimental strategy should yield the identities of key regulators of AS that are likely to b as important functionally as the EMT-TFs in executing the EMT program. Experimental tests designed to functionally test the candidacies of these AS factors will be performed. These tests will gauge whether the forced or blocked expression of these factors affect execution of critical components of the EMT program, and whether, as predicted, such imposed changes in AS factor expression affect the production of key EMT-associated proteins, i.e., proteins that play key roles in the expression of the epithelial versus mesenchymal cell phenotypes observed during malignant progression. This work also has the potential to identify novel biomarkers of the EMT program that are applicable, for example, for the detections of stem cells in a variety of epithelial tissues.",U01,"Metastasis, Heterogeneity","Beth Israel Deaconess Hospital, Massachusetts General Hospital, Massachusetts Institute of Technology","BIDMC, MGH, MIT","Frank B. Gertler, Christopher B. Burge, Robert A. Weinberg",ICBP,6/1/14,5/31/20,https://reporter.nih.gov/search/00Yb1T3sok62koXjAY2CRg/projects,5,,https://www.synapse.org/#!Team:3471107,https://www.synapse.org/#!Synapse:syn9775689,9a52131e-8e18-4821-8d40-81fd6a363f13,syn53259587
GrantView,CA184898,Embryonal Brain Tumor Networks,CA184898,"Our U01 is an innovative, systems biology approach designed to uncover new therapeutic strategies for childhood embryonal tumors. These tumors are the most common central nervous system malignancies in childhood, and there is a pressing need for better therapies. Current survival rates range from 30 – 80% depending on subgroup, and nearly all survivors have impaired neurological and neurocognitive function. Extensive genomic analysis of medulloblastomas, the most common embryonal tumors, failed to identify “driver genes” that could explain the origin of most tumors or suggest new strategies. Nevertheless, these tumors can be grouped into a small number of subtypes that share transcriptional patterns and clinical outcomes.<br><br>We believe that it is time for a fundamentally new approach that seeks oncogenic “driver pathways” rather than “driver genes.” As many different genomic changes can all affect the same driver pathway, such pathways cannot be uncovered by looking for recurring genomic changes alone. Rather, we use a systems biology approach based on a wide variety of omic methods to identify these oncogenic driver pathways.<br><br>We are creating comprehensive, genome-wide datasets from human medulloblastoma tumors and cell lines by measuring mutations, copy number variations, mRNA expression, proteomic (including enrichment for several types of post-translational modifications), metabolomic, and epigenomic data. We have developed innovative network models methods to unite these diverse data and thereby identify shared pathways altered across many patients within a subtype. Finally, we will test driver pathways nominated from the network modeling.<br><br>By merging these diverse data collected from tumors of individual patients, we will have an unprecedented ability to uncover the root causes of cancer, providing new therapeutic strategies. Concurrent with publication, we make all data and software tools developed during the course of this project available to the scientific community to further spark innovation and scientific advancements.",U01,Heterogeneity,"Harvard University, Massachusetts Institute of Technology, University of California; San Diego","Harvard, MIT, UCSD","Jill P. Mesirov, Ernest Fraenkel, Scott L. Pomeroy",ICBP,7/1/14,5/31/21,https://reporter.nih.gov/search/w4FYtUJ2oUuzpHRyPHafOw/projects,6,,https://www.synapse.org/#!Team:3471100,https://www.synapse.org/#!Synapse:syn9772917,3de96fd2-e423-40f1-aef5-f638c1e888bc,syn53259587
GrantView,CA188388,Modeling and targeting stroma-tumor crosstalk in non small cell lung cancer,CA188388,"Our research is aimed at finding molecularly targeted therapies for the treatment of non-small cell lung cancer (NSCLC). Taking into account the emerging paradigm that the reprogrammed intratumoral stromal cells contribute to carcinogenesis, we are employing integrated experimental and computational approaches to identify tumor-stromal crosstalk pathways that drive NSCLC progression in mice and humans. We are developing a multicellular crosstalk signaling network modeling and visualization tool, which is being applied to multicellular RNAseq data to identify tumor-stroma crosstalk pathways. Genes involved in these signaling mechanisms constitute potential candidates, which are being validated in rapid in vitro coculture assays, and their mechanistic and therapeutic potential is being assessed in genetically engineered NSCLC models. This study explores the relatively understudied tumor-stroma crosstalk pathways as a largely untapped source of drug targets. It has tremendous potential for the development of novel therapeutic strategies that will target tumor-stroma interactions and may complement existing treatments that target cancer cells.<br><br>To date, we have developed a computational model, P2GWAS, to identify both autocrine and paracrine pathways. We have made significant progress in refining our crosstalk discovery algorithms and developing a graphic interactive interface for crosstalk signaling network discovery. Early results have indicated roles for the HGF-MET pathway and the OPN pathway, for which we have made significant progress in experimentally assessing their tumor-stroma crosstalk contributions both in vitro and in vivo.",U01,"Heterogeneity, Microenvironment","Houston Methodist, Weill Cornell Medicine","Houston Methodist, WCM","Allen W. Tsang, Vivek Mittal",ICBP,7/2/15,6/30/20,https://reporter.nih.gov/search/5ZIBjGdmIkqUh2IqgVrW7A/projects,4,,https://www.synapse.org/#!Team:3471105,https://www.synapse.org/#!Synapse:syn9775595,45fe97ae-87c5-4236-aa26-5cde8d078d9a,syn53259587
GrantView,CA193313,Columbia University Center for Topology of Cancer Evolution and Heterogeneity,CA193313,"The Columbia University Center for Topology of Cancer Evolution and Heterogeneity is a member of the National Cancer Institute's Physical Sciences in Oncology Network. Founded in 2009, the Network was created to support research that integrates perspectives from the fields of physics, mathematics, chemistry, and engineering in ways that address key questions and obstacles in cancer research.<br><br>The Center for Topology of Cancer Evolution and Heterogeneity opened in May 2015 as an interdisciplinary center formed to develop an integrated experimental and computational pipeline for characterizing the evolution of subclonal populations within solid tumors. Our experimental techniques include novel organoid systems for tracing cellular lineages, as well as innovative single-cell sequencing technologies. We are combining these methods with emerging mathematical approaches from the field of topological data analysis that are well suited to analyzing the high-dimensional data that single-cell approaches generate.<br><br>Our team includes experts in cancer genomics, the genetics of brain tumors, developmental biology, single-cell genomics, machine learning, and topological data analysis. Working together in close collaboration, our goal is to provide the scientific community with experimentally validated geometric and topological structures of causal inference of clonal evolution, single-cell genomic protocols for fast and reliable uncovering of clonal heterogeneity, experimentally validated machine learning approaches for predicting drug sensitivities, and a strong multi-institutional, interdisciplinary program that creates bridges between researchers in pure mathematics, the technology sector, and cancer research.",U54,"Heterogeneity, Evolution, Metastasis",Columbia University,Columbia,"Raul Rabadan, Antonio Iavarone",PS-ON,5/19/15,4/21/21,https://reporter.nih.gov/search/gkuB-dpilUeLTf8X3-Plig/projects,5,,https://www.synapse.org/#!Team:3471089,https://www.synapse.org/#!Synapse:syn7349759,ca685f13-7536-4624-abe9-85d5c6d15941,syn53259587
GrantView,CA193417,Physical Science Oncology Center at Penn,CA193417,"The PSOC@Penn (Physical Sciences in Oncology Center at Penn) focuses on physical changes of tissues, cells, and nuclei that contribute to cancer growth and initiation. As tumor cells divide, invade, and displace normal cells, the tissue often changes physically, frequently getting stiffer, sometimes softer, often heterogeneously. Physical changes sometimes occur even before the cancer is detectable. Primary liver cancer appears representative as it almost always arises in the setting of end-stage liver fibrosis, termed cirrhosis, that is caused by excess alcohol consumption among other causes. Measuring liver stiffness is now possible in living patients, and prospective studies show patients with stiffer livers have dramatically increased rates of liver cancer.<br><br>Our Center integrates cancer experts with physical scientists and engineers who conduct diverse biophysical experiments from tissue scale down to single molecules. Theorists take multi-scale approaches to clarifying and predicting biophysical phenomena. Primary liver cancer is a main focus – though not exclusive to our interests, and our ideas and tools seek to broadly advance modern diagnostics and drive new treatments.",U54,"Microenvironment, Evolution, Metastasis",University of Pennsylvania,UPenn,Dennis Discher,PS-ON,6/16/15,4/30/21,https://reporter.nih.gov/search/lsknRCvSSk2IkYt8mIzWmw/projects,5,,https://www.synapse.org/#!Team:3471086,https://www.synapse.org/#!Synapse:syn7349747,41e91780-1178-4800-914a-6c5dcbbb9a57,syn53259587
GrantView,CA193419,Chicago Region Physical Science Oncology Center,CA193419,"One of the most exciting scientific breakthroughs to impact cancer research has been the discovery of the importance of the chromatin structure and the central role of epigenomic modifications in gene expression. A fundamental and long-standing question in cancer research is what happens at the genomic level to change a typical cell from a normal phenotype into a malignant one. The linkage between some types of cancer and gene mutations is apparent, but that phenomenon is not observed in every class of tumor cell. How, then is gene expression so radically altered in tumor cells? The answer may be found by analyzing how biological and environmental factors alter chromosome mechanics and chromatin organization in the nucleus in a way that ultimately lead to the aberrant transcription seen in cancer cells.<br><br>The Chicago Region-Physical Science Oncology Center (CR-PSOC) is organized around the conceptual framework that addresses the spatio-temporal organization of chromatin and information transfer in cancer. This organizing framework integrates the strengths of chemistry, genetics, and physics to address chromatin dynamics in cancer. Through the use of shared model systems Center investigators are able to integrate data from across projects to develop a new conceptual understanding of the mechanisms underlying physical rearrangement of chromatin in cancer and how that controls gene expression.<br><br>The Center is composed of three interrelated project areas, each focused on different aspects of chromatin structure and function. Each project integrates emerging physical science approaches and molecular and cancer cell biology tools, as well as theory and modeling methods from the physical sciences, to achieve a quantitative and predictive understanding of the of deregulation of chromatin mechanics, epigenetic regulatory pathways, gene expression, and the nuclear environment in cancer. The Center's projects maintain a clear cancer focus rooted in understanding the molecular mechanism behind genetic alterations in chromatin regulators in cancer, particularly hematological malignancy. The scientific activities of the CR-PSOC are supported by two shared resource cores: the Nanocytometry Core and the PDX Human Tumor Model Core.",U54,"Metabolism, Heterogeneity, Evolution",Northwestern University,NU,"Thomas V. O'Halloran, Jonathan D. Licht",PS-ON,5/19/15,4/30/22,https://reporter.nih.gov/search/iB2VVo7e80Wgach10dOt-Q/projects,6,,https://www.synapse.org/#!Team:3471084,https://www.synapse.org/#!Synapse:syn7349742,58432a66-f0c1-4dbf-b887-7c45c40b2e7b,syn53259587
GrantView,CA193461,Dana-Farber Cancer Institute Physical Sciences-Oncology Center,CA193461,"Dana-Farber Cancer Institute Physical Sciences-Oncology Center (DFCI PS-OC) will intertwine the physical sciences with cancer biology and oncology by engaging evolutionary theory to address several critical issues concerning modern cancer research. Moreover, this center aspires to institute evolutionary modeling of cancer as a new field of study. To accomplish these goals, the center has brought together an acclaimed group of scientists from the fields of theoretical biology, cancer biology, oncology, physics and engineering. Iterative modeling will be employed to study the evolution of brain, lung, and hematopoietic tumors. Additionally, these investigators will draw on experimental data to tweak the evolutionary models that are formulated. One major evolutionary focus of this center will be to resolve which cell serves at the cell of origin for brain and hematopoietic tumors. Knowledge of the cells that initiate and drive cancer progression is critical for determining treatment options and will advance the struggle against cancer.",U54,"Evolution, Drug Resistance/Sensitivity, Microenvironment, Heterogeneity",Dana-Farber Cancer Institute,DFCI,"Franziska Michor, Eric C. Holland",PS-ON,5/19/15,4/30/21,https://reporter.nih.gov/search/vT6mvdBmVUeTiWhyGSrYjQ/projects,5,,https://www.synapse.org/#!Team:3471088,https://www.synapse.org/#!Synapse:syn7349757,d57a84f3-4a2c-4524-b299-5bb72626b5e0,syn53259587
GrantView,CA193489,H Lee Moffitt Cancer Center and Research Institute,CA193489,"The Moffitt PSOC (1 of 10 current PSOC centers nationwide) embraces the physical science research paradigm that has combined empirical studies with mathematically-based theoretical models that integrate and organize diverse data. We view cancer as an open, complex, dynamic, adaptive system. """"Complex"""" because it contains a large number of components linked through a variety of mostly non-linear interactions. """"Adaptive"""" because the tumor cells evolve and coevolve phenotypic strategies in response to their micro-environmental circumstance, each other, and eventually to therapy. """"Dynamic"""" because all of the elements of the tumor, the cancer cell population sizes, adaptive strategies, and their interactions with each other and their environment change through space and time. """"Open"""" because it continuously interacts with normal tissue in large part through its vascular network. Similar to Riparian ecosystems, blood vessels provide nutrients and growth factors to and remove metabolites from surrounding cancer population as well as providing a highway for the transport of tumor cells to distant organs.<br><br>We investigate the cancer as a complex system through an integrated, multidisciplinary approach that includes physicists, applied mathematicians, cancer biologists, computer scientists, oncologists, and evolutionary biologists. Like all living systems, we assume that cancer populations are ultimately governed by Darwinian dynamics which we view as first principles. Complex systems are notoriously difficult to predict as illustrated by the famous """"butterfly effect."""" However, we have found that predictive models can be developed through the integration of large data sets (similar to weather forecasting), evolutionary first principles, and sophisticated computational methods that ultimately lead to a deeper understanding of the underlying dynamics. Furthermore, we have demonstrated both theoretically and empirically, that the tendency of complex systems to magnify small perturbations can be exploited to guide cancer towards less aggressive outcomes.",U54,"Evolution, Drug Resistance/Sensitivity, Microenvironment, Tumor-Immune",Moffitt Cancer Center,Moffitt,"Robert A. Gatenby, Robert J. Gillies, Alexander R. A. Anderson",PS-ON,9/23/15,8/31/21,https://reporter.nih.gov/search/_NYRxbiptEepNRI3Jh1A-w/projects,5,,https://www.synapse.org/#!Team:3471087,https://www.synapse.org/#!Synapse:syn7349753,39af07f2-86a8-4f28-9163-b6379d6e5e54,syn53259587
GrantView,CA195469,Intratumor heterogeneity underlying treatment resistance in HER2+ breast tumors,CA195469,"Despite improved treatment strategies, inherent and acquired resistance to HER2-targeted therapies is common and inevitably lead to disease progression and cancer-related deaths. PIK3CA mutations occur in ~40% of HER2+ tumors and have been associated with resistance to treatment. To explore intratumor heterogeneity for HER2 and PIK3CA mutation in HER2+ tumors and the potential role of this in treatment resistance, we have developed a technique, STAR-FISH (Specific To Allele pcR FISH) that allows for the combined detection of point mutations and copy number gain in intact tissue samples at the single cell level. By applying STAR-FISH to HER2+ tumors before and after neoadjuvant therapy, we found that PIK3CA mutation and HER2 amplification do not always co-occur in the same cell but can be present in distinct subpopulations within tumors. Post-treatment residual tumors have higher fraction of mutant PIK3CA cells with a concomitant decrease in the relative ratio of cells with HER2 amplification. Patients with significant differene in cell type diversity between pre and post-treatment samples have shorter disease-specific survival than those with no change. Based on our preliminary data, we hypothesize that 1) not all somatic mutations that have been reported to occur in a given tumor are present in the same tumor cell but some may represent genetically divergent clones within tumors, (2) the combination of mutations within the same cell and within the same tumor is not random, but reflect cooperation among pathways and among clones, and (3) the presence of a combination of mutations within the same cell versus in different clones in the same tumor will have different functional and clinical consequences. We propose three specific aims to test these hypotheses: Aim 1. Analyze intratumor subclonal and cellular genetic diversity in HER2+ breast tumors. Aim 2. Develop and characterize experimental models of intratumor heterogeneity in HER2+ breast cancer. Aim 3. Develop mathematical models to infer the evolution of HER2+ tumors during treatment. Our goal is to translate our findings into future clinical trials.",U01,"Heterogeneity, Evolution",Dana-Farber Cancer Institute,DFCI,"Kornelia Polyak, Joe W. Gray, Franziska Michor, Paul T. Spellman",ICBP,6/1/15,5/31/21,https://reporter.nih.gov/search/wDSl2uECQ0O2DUigrJsKpw/projects,5,,https://www.synapse.org/#!Team:3471108,https://www.synapse.org/#!Synapse:syn9775704,760af585-85d4-4c0e-b4e4-124f8eac18a5,syn53259587
GrantView,CA199315,Integrative approach to heterogeneity in breast cancer metastasis,CA199315,"Despite major advances in understanding the molecular and genetic basis of cancer, disease progression to metastasis remains the cause of >90% of cancer-related mortality. Understanding the mechanisms underlying metastasis initiation is critical for the development of new therapeutic strategies specifically to diagnose, target and prevent progression to metastatic disease. However, the identity of metastasis-initiating cells in human breast cancer remains elusive. We propose to use an integrative approach using a variety of state-of-the-art single cell multi-parametric, analytical techniques to probe heterogeneity during metastasis of human breast cancer at single cell resolution. We have previously found heterogeneity in micro- and macro-metastatic cells from human patient-derived xenografts (PDXs) and we will exploit these PDXs grown in immunodeficient mice to probe heterogeneity in triple negative, estrogen receptor-positive and HER2-positive human breast cancers and their metastases. We propose to determine differentiation states for triple negative breast cancers and their early and advanced metastasis using single cell profiling techniques to test the hypothesis that distinct states confer therapeutic resistance and metastatic capabilities. We will compare the differentiation states of the triple negative cancers with those of estrogen receptor positive and HER2 positive breast cancers and their early and advanced metastases at the single cell level to determine the properties of states that confer therapeutic resistance and metastatic capabilities. The RNA studies will be complemented by protein analysis using single cell mass cytometry. After determining the self-renewal and differentiation properties of the metastatic cells, we will test their response to targeted therapy by transplantation in vivo and by tumor cell sphere assays in culture. We will then validate the predictions by examining human breast cancer specimens. Through this systems biology approach we plan to develop a global understanding of the events leading to breast cancer metastasis. Understanding these functions in molecular detail could lead to prevention regimes for patients at high risk of developing breast cancer so that their tumors do not metastasize, biomarkers of progression for patients who are newly diagnosed with cancer and new therapeutic approaches for patients at high risk of developing metastases by either suppressing the outgrowth of micro-metastases or by killing them outright.",U01,"Heterogeneity, Microenvironment",University of California; San Francisco,UCSF,"Zena Werb, Paul T. Spellman",ICBP,6/1/16,5/31/21,https://reporter.nih.gov/search/ChwWPORY0k-hPAPlQtxNCQ/projects,4,,https://www.synapse.org/#!Team:3471104,https://www.synapse.org/#!Synapse:syn9774783,e5415d3d-e3b4-49fd-9b3b-84fb665bbeae,syn53259587
