Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA227136,TEC,"Drug Resistance/Sensitivity, Microenvironment",10.1093/neuonc/noac089,Neuro Oncol,35395677,https://pubmed.ncbi.nlm.nih.gov/35395677,"Prospective genomically guided identification of ""early/evolving"" and ""undersampled"" IDH-wildtype glioblastoma leads to improved clinical outcomes",2022,"Glioblastoma, Molecular Diagnostics, Precision Medicine, Genomic Profiling, Molecular Neuro-oncology","Yalan Zhang, Calixto-Hope G Lucas, Jacob S Young, Ramin A Morshed, Lucie McCoy, Nancy Ann Oberheim Bush, Jennie W Taylor, Mariza Daras, Nicholas A Butowski, Javier E Villanueva-Meyer, Soonmee Cha, Margaret Wrensch, John K Wiencke, Julieann C Lee, Melike Pekmezci, Joanna J Phillips, Arie Perry, Andrew W Bollen, Manish K Aghi, Philip Theodosopoulos, Edward F Chang, Shawn L Hervey-Jumper, Mitchel S Berger, Jennifer L Clarke, Susan M Chang, Annette M Molinaro, David A Solomon","Background: Genomic profiling studies of diffuse gliomas have led to new improved classification schemes that better predict patient outcomes compared to conventional histomorphology alone. One example is the recognition that patients with IDH-wildtype diffuse astrocytic gliomas demonstrating lower-grade histologic features but genomic and/or epigenomic profile characteristic of glioblastoma typically have poor outcomes similar to patients with histologically diagnosed glioblastoma. Here we sought to determine the clinical impact of prospective genomic profiling for these IDH-wildtype diffuse astrocytic gliomas lacking high-grade histologic features but with molecular profile of glioblastoma. Methods: Clinical management and outcomes were analyzed for 38 consecutive adult patients with IDH-wildtype diffuse astrocytic gliomas lacking necrosis or microvascular proliferation on histologic examination that were genomically profiled on a prospective clinical basis revealing criteria for an integrated diagnosis of ""diffuse astrocytic glioma, IDH-wildtype, with molecular features of glioblastoma, WHO grade IV"" per cIMPACT-NOW criteria. Results: We identified that this diagnosis consists of two divergent clinical scenarios based on integration of radiologic, histologic, and genomic features that we term ""early/evolving"" and ""undersampled"" glioblastoma, IDH-wildtype. We found that prospective genomically guided identification of early/evolving and undersampled IDH-wildtype glioblastoma resulted in more aggressive patient management and improved clinical outcomes compared to a biologically matched historical control patient cohort receiving standard-of-care therapy based on histomorphologic diagnosis alone. Conclusions: These results support routine use of genomic and/or epigenomic profiling to accurately classify glial neoplasms, as these assays not only improve diagnostic classification but critically lead to more appropriate patient management that can improve clinical outcomes.","Next Generation Sequencing, Imaging, Statistical Modeling",Glioblastoma,Brain,Not Applicable,Open Access
PublicationView,CA227136,TEC,"Drug Resistance/Sensitivity, Microenvironment",10.1016/j.wneu.2022.02.038,World Neurosurg,35181534,https://pubmed.ncbi.nlm.nih.gov/35181534,Sarcopenia Diagnosed Using Masseter Muscle Diameter as a Survival Correlate in Elderly Patients with Glioblastoma,2022,"Elderly, Biopsy, Complications, Resection, Sarcopenia, Masseter, Octogenarian","Ramin A Morshed, Jacob S Young, Megan Casey, Elaina J Wang, Manish K Aghi, Mitchel S Berger, Shawn L Hervey-Jumper","Background: Elderly patients with glioblastoma (GBM) have a worse prognosis than do younger patients. The present study aimed to identify the patient, treatment, and imaging features, including measures of sarcopenia, associated with worse survival and 90-day postoperative mortality for elderly patients with GBM. Methods: A single-center retrospective study was conducted of patients aged ≥79 years at surgery who had undergone biopsy or resection of a World Health Organization grade IV GBM at the initial diagnosis. Imaging features of sarcopenia were collected, including the masseter and temporalis muscle diameters. Multivariate analyses were performed to identify factors associated with survival and 30-day complications. Results: The cohort included 110 patients with a mean age of 82.8 years at surgery and a median preoperative Karnofsky performance scale score of 80. The majority of patients underwent a surgical resection (66.4%) while a minority underwent biopsy (33.6%). Adjuvant chemo- and/or radiation therapy were used in 72.5% of the cohort. On multivariate analysis, age (hazard ratio [HR], 7.97; 95% confidence interval [CI], 1.63-36.3), adjuvant therapy (RT or TMZ vs. none: HR, 0.12; 95% CI, 0.05-0.3; RT plus TMZ vs. none: HR, 0.05; 95% CI, 0.02-0.14), surgical resection (HR, 0.46; 95% CI, 0.24-0.9), multifocality (HR, 2.7; 95% CI, 1.14-6.4), and masseter diameter (HR, 0.12; 95% CI, 0.02-0.78) were associated with survival. Masseter diameter was the only factor associated with 90-day mortality after surgical resection (P = 0.044). Conclusions: GBM patients over the age of 79 have acceptable outcomes after resection, followed by adjuvant chemotherapy and RT. In addition to the treatment factors that predicted for survival, a decreased masseter diameter on preoperative imaging, a marker of sarcopenia, was associated with shorter overall survival and 90-day mortality after surgical resection.",Clinical Study,Glioblastoma,Brain,Not Applicable,Open Access
PublicationView,CA209988,CSBC,"Heterogeneity, Drug Resistance/Sensitivity, Microenvironment",10.3389/fbinf.2023.1275402,Front Bioinform,37928169,https://pubmed.ncbi.nlm.nih.gov/37928169,3D multiplexed tissue imaging reconstruction and optimized region of interest (ROI) selection through deep learning model of channels embedding,2023,"Multimodal Integration, 3d Multiplex Tissue Imaging, 3d Virtual Cycif, Channels Embedding, Optimized Region Of Interest Selection","Erik Burlingame, Luke Ternes, Jia-Ren Lin, Yu-An Chen, Eun Na Kim, Joe W Gray, Young Hwan Chang","Tissue-based sampling and diagnosis are defined as the extraction of information from certain limited spaces and its diagnostic significance of a certain object. Pathologists deal with issues related to tumor heterogeneity since analyzing a single sample does not necessarily capture a representative depiction of cancer, and a tissue biopsy usually only presents a small fraction of the tumor. Many multiplex tissue imaging platforms (MTIs) make the assumption that tissue microarrays (TMAs) containing small core samples of 2-dimensional (2D) tissue sections are a good approximation of bulk tumors although tumors are not 2D. However, emerging whole slide imaging (WSI) or 3D tumor atlases that use MTIs like cyclic immunofluorescence (CyCIF) strongly challenge this assumption. In spite of the additional insight gathered by measuring the tumor microenvironment in WSI or 3D, it can be prohibitively expensive and time-consuming to process tens or hundreds of tissue sections with CyCIF. Even when resources are not limited, the criteria for region of interest (ROI) selection in tissues for downstream analysis remain largely qualitative and subjective as stratified sampling requires the knowledge of objects and evaluates their features. Despite the fact TMAs fail to adequately approximate whole tissue features, a theoretical subsampling of tissue exists that can best represent the tumor in the whole slide image. <b>Methods:</b> To address these challenges, we propose deep learning approaches to learn multi-modal image translation tasks from two aspects: 1) generative modeling approach to reconstruct 3D CyCIF representation and 2) co-embedding CyCIF image and Hematoxylin and Eosin (H&E) section to learn multi-modal mappings by a cross-domain translation for minimum representative ROI selection. <b>Results and discussion:</b> We demonstrate that generative modeling enables a 3D virtual CyCIF reconstruction of a colorectal cancer specimen given a small subset of the imaging data at training time. By co-embedding histology and MTI features, we propose a simple convex optimization for objective ROI selection. We demonstrate the potential application of ROI selection and the efficiency of its performance with respect to cellular heterogeneity.","Hematoxylin and Eosin Staining Method, Cyclic Immunofluorescence, Computational Modeling, Mathematical Modeling",Colorectal Neoplasm       ,Not Applicable,Not Applicable,Open Access
PublicationView,CA209988,CSBC,"Heterogeneity, Drug Resistance/Sensitivity, Microenvironment",10.1016/j.crmeth.2023.100595,Cell Rep Methods,37741277,https://pubmed.ncbi.nlm.nih.gov/37741277,Dual-modality imaging of immunofluorescence and imaging mass cytometry for whole-slide imaging and accurate segmentation,2023,"Immunofluorescence, Barrett’s esophagus, Esophageal adenocarcinoma, If, Imc, Multiplex Imaging, Multimodal Image Registration, Imaging Mass Cytometry, Cp: Imaging","Eun Na Kim, Phyllis Zixuan Chen, Dario Bressan, Monika Tripathi, Ahmad Miremadi, Massimiliano di Pietro, Lisa M Coussens, Gregory J Hannon, Rebecca C Fitzgerald, Lizhe Zhuang, Young Hwan Chang","Imaging mass cytometry (IMC) is a powerful technique capable of detecting over 30 markers on a single slide. It has been increasingly used for single-cell-based spatial phenotyping in a wide range of samples. However, it only acquires a rectangle field of view (FOV) with a relatively small size and low image resolution, which hinders downstream analysis. Here, we reported a highly practical dual-modality imaging method that combines high-resolution immunofluorescence (IF) and high-dimensional IMC on the same tissue slide. Our computational pipeline uses the whole-slide image (WSI) of IF as a spatial reference and integrates small-FOV IMC into a WSI of IMC. The high-resolution IF images enable accurate single-cell segmentation to extract robust high-dimensional IMC features for downstream analysis. We applied this method in esophageal adenocarcinoma of different stages, identified the single-cell pathology landscape via reconstruction of WSI IMC images, and demonstrated the advantage of the dual-modality imaging strategy.",Imaging Mass Cytometry,Esophageal Adenocarcinoma,Mucosa,zenodo.7576005,Open Access
PublicationView,CA209971,CSBC,"Tumor-Immune, Microenvironment, Metastasis",10.1186/s13073-023-01236-w,Genome Med,37978395,https://pubmed.ncbi.nlm.nih.gov/37978395,Loss of p53-DREAM-mediated repression of cell cycle genes as a driver of lymph node metastasis in head and neck cancer,2023,"Cell cycle, Meta-analysis, Head And Neck Cancer, Tumor Microenvironment, Transcriptomics, lymph node metastasis, Cellular Plasticity, Single-cell Rna-seq, P53-dream Pathway","Kevin Brennan, Almudena Espín-Pérez, Serena Chang, Nikita Bedi, Saumyaa Saumyaa, June Ho Shin, Sylvia K Plevritis, Olivier Gevaert, John B Sunwoo, Andrew J Gentles","Background: The prognosis for patients with head and neck cancer (HNC) is poor and has improved little in recent decades, partially due to lack of therapeutic options. To identify effective therapeutic targets, we sought to identify molecular pathways that drive metastasis and HNC progression, through large-scale systematic analyses of transcriptomic data. Methods: We performed meta-analysis across 29 gene expression studies including 2074 primary HNC biopsies to identify genes and transcriptional pathways associated with survival and lymph node metastasis (LNM). To understand the biological roles of these genes in HNC, we identified their associated cancer pathways, as well as the cell types that express them within HNC tumor microenvironments, by integrating single-cell RNA-seq and bulk RNA-seq from sorted cell populations. Results: Patient survival-associated genes were heterogenous and included drivers of diverse tumor biological processes: these included tumor-intrinsic processes such as epithelial dedifferentiation and epithelial to mesenchymal transition, as well as tumor microenvironmental factors such as T cell-mediated immunity and cancer-associated fibroblast activity. Unexpectedly, LNM-associated genes were almost universally associated with epithelial dedifferentiation within malignant cells. Genes negatively associated with LNM consisted of regulators of squamous epithelial differentiation that are expressed within well-differentiated malignant cells, while those positively associated with LNM represented cell cycle regulators that are normally repressed by the p53-DREAM pathway. These pro-LNM genes are overexpressed in proliferating malignant cells of TP53 mutated and HPV + ve HNCs and are strongly associated with stemness, suggesting that they represent markers of pre-metastatic cancer stem-like cells. LNM-associated genes are deregulated in high-grade oral precancerous lesions, and deregulated further in primary HNCs with advancing tumor grade and deregulated further still in lymph node metastases. Conclusions: In HNC, patient survival is affected by multiple biological processes and is strongly influenced by the tumor immune and stromal microenvironments. In contrast, LNM appears to be driven primarily by malignant cell plasticity, characterized by epithelial dedifferentiation coupled with EMT-independent proliferation and stemness. Our findings postulate that LNM is initially caused by loss of p53-DREAM-mediated repression of cell cycle genes during early tumorigenesis.","Fluorescence Activated Cell Sorting, Flow Cytometry, RNA Sequencing, Single Cell RNA-Sequencing",Head and Neck Squamous Cell Carcinoma,Head and Neck,Not Applicable,Open Access
PublicationView,CA232517,TEC,"Microenvironment, Metastasis",10.1063/5.0132254,APL Bioeng,36875739,https://pubmed.ncbi.nlm.nih.gov/36875739,Model of collective detachment in high-grade serous ovarian cancer demonstrates that tumor spheroids produce ECM to support metastatic processes,2023,,"Hannah M Micek, Lauren Rosenstock, Yicheng Ma, Caitlin Hielsberg, Lauren Montemorano, Metti K Gari, Suzanne M Ponik, Pamela K Kreeger","High-grade serous ovarian cancer (HGSOC) metastasizes through transcoelomic spread, with both single cells and spheroids of tumor cells observed in patient ascites. These spheroids may form through single cells that detach and aggregate (Sph-SC) or through collective detachment (Sph-CD). We developed an <i>in vitro</i> model to generate and separate Sph-SC from Sph-CD to enable study of Sph-CD in disease progression. <i>In vitro</i>-generated Sph-CD and spheroids isolated from ascites were similar in size (mean diameter 51 vs 55 <i>μ</i>m, p > 0.05) and incorporated multiple ECM proteins. Using the <i>in vitro</i> model, nascent protein labeling, and qRT-PCR, we determined that ECM was produced after detachment. As fibronectin plays a key role in many cell adhesion events, we confirmed that inhibiting RGD-based adhesion or fibronectin assembly reduced Sph-CD-mesothelial adhesion strength under shear stress. Our model will enable future studies to determine factors that favor formation of Sph-CD, as well as allow investigators to manipulate Sph-CD to better study their effects on HGSOC progression.","Immunohistochemistry Staining Method, RT-qPCR, Modeling",High Grade Ovarian Serous Adenocarcinoma,Not Applicable,Not Applicable,Open Access
PublicationView,"CA217450, CA215845",CSBC,"Heterogeneity, Drug Resistance/Sensitivity, Microenvironment",10.1038/s41540-023-00316-2,NPJ Syst Biol Appl,37907529,https://pubmed.ncbi.nlm.nih.gov/37907529,Data-driven structural analysis of small cell lung cancer transcription factor network suggests potential subtype regulators and transition pathways,2023,,"Mustafa Ozen, Carlos F Lopez","Small cell lung cancer (SCLC) is an aggressive disease and challenging to treat due to its mixture of transcriptional subtypes and subtype transitions. Transcription factor (TF) networks have been the focus of studies to identify SCLC subtype regulators via systems approaches. Yet, their structures, which can provide clues on subtype drivers and transitions, are barely investigated. Here, we analyze the structure of an SCLC TF network by using graph theory concepts and identify its structurally important components responsible for complex signal processing, called hubs. We show that the hubs of the network are regulators of different SCLC subtypes by analyzing first the unbiased network structure and then integrating RNA-seq data as weights assigned to each interaction. Data-driven analysis emphasizes MYC as a hub, consistent with recent reports. Furthermore, we hypothesize that the pathways connecting functionally distinct hubs may control subtype transitions and test this hypothesis via network simulations on a candidate pathway and observe subtype transition. Overall, structural analyses of complex networks can identify their functionally important components and pathways driving the network dynamics. Such analyses can be an initial step for generating hypotheses and can guide the discovery of target pathways whose perturbation may change the network dynamics phenotypically.","Computational Modeling, Mathematical Modeling",Lung Small Cell Carcinoma,Lung,Not Applicable,Open Access
PublicationView,CA238728,CSBC,"Tumor-Immune, Microenvironment",10.1186/s12943-023-01884-x,Mol Cancer,37964379,https://pubmed.ncbi.nlm.nih.gov/37964379,"A bedside to bench study of anti-PD-1, anti-CD40, and anti-CSF1R indicates that more is not necessarily better",2023,"Melanoma, CD40, PD-1, Clinical Trial, Csf1r, Checkpoint Inhibition Resistance","Dijana Djureinovic, Sarah A Weiss, Irina Krykbaeva, Rihao Qu, Ioannis Vathiotis, Myrto Moutafi, Lin Zhang, Ana L Perdigoto, Wei Wei, Gail Anderson, William Damsky, Michael Hurwitz, Barbara Johnson, David Schoenfeld, Amit Mahajan, Frank Hsu, Kathryn Miller-Jensen, Yuval Kluger, Mario Sznol, Susan M Kaech, Marcus Bosenberg, Lucia B Jilaveanu, Harriet M Kluger","Background: Stimulating inflammatory tumor associated macrophages can overcome resistance to PD-(L)1 blockade. We previously conducted a phase I trial of cabiralizumab (anti-CSF1R), sotigalimab (CD40-agonist) and nivolumab. Our current purpose was to study the activity and cellular effects of this three-drug regimen in anti-PD-1-resistant melanoma. Methods: We employed a Simon's two-stage design and analyzed circulating immune cells from patients treated with this regimen for treatment-related changes. We assessed various dose levels of anti-CSF1R in murine melanoma models and studied the cellular and molecular effects. Results: Thirteen patients were enrolled in the first stage. We observed one (7.7%) confirmed and one (7.7%) unconfirmed partial response, 5 patients had stable disease (38.5%) and 6 disease progression (42.6%). We elected not to proceed to the second stage. CyTOF analysis revealed a reduction in non-classical monocytes. Patients with prolonged stable disease or partial response who remained on study for longer had increased markers of antigen presentation after treatment compared to patients whose disease progressed rapidly. In a murine model, higher anti-CSF1R doses resulted in increased tumor growth and worse survival. Using single-cell RNA-sequencing, we identified a suppressive monocyte/macrophage population in murine tumors exposed to higher doses. Conclusions: Higher anti-CSF1R doses are inferior to lower doses in a preclinical model, inducing a suppressive macrophage population, and potentially explaining the disappointing results observed in patients. While it is impossible to directly infer human doses from murine studies, careful intra-species evaluation can provide important insight. Cabiralizumab dose optimization is necessary for this patient population with limited treatment options. Trial registration: ClinicalTrials.gov Identifier: NCT03502330.",Clinical Study,Melanoma,Not Applicable,Not Applicable,Open Access
PublicationView,CA193489,PS-ON,"Evolution, Microenvironment, Tumor-Immune, Drug Resistance/Sensitivity",10.1371/journal.pone.0292492,PLoS One,37816047,https://pubmed.ncbi.nlm.nih.gov/37816047,Immunomodulatory and pro-oncologic effects of ketamine and isoflurane anesthetics in a murine model,2023,,"Dominique Abrahams, Arig Ibrahim-Hashim, Robert S Ackerman, Joel S Brown, Christopher J Whelan, Megan B Garfinkel, Robert A Gatenby, Aaron R Muncey","Introduction: Volatile and intravenous anesthetics may worsen oncologic outcomes in basic science animal models. These effects may be related to suppressed innate and adaptive immunity, decreased immunosurveillance, and disrupted cellular signaling. We hypothesized that anesthetics would promote lung tumor growth via altered immune function in a murine model and tested this using an immunological control group of immunodeficient mice. Methods: Lewis lung carcinoma cells were injected via tail vein into C57BL/6 immunocompetent and NSG immunodeficient mice during exposure to isoflurane and ketamine versus controls without anesthesia. Mice were imaged on days 0, 3, 10, and 14 post-tumor cell injection. On day 14, mice were euthanized and organs fixed for metastasis quantification and immunohistochemistry staining. We compared growth of tumors measured from bioluminescent imaging and tumor metastasis in ex vivo bioluminescent imaging of lung and liver. Results: Metastases were significantly greater for immunocompromised NSG mice than immunocompetent C57BL/6 mice over the 14-day experiment (partial η2 = 0.67, 95% CI = 0.54, 0.76). Among immunocompetent mice, metastases were greatest for mice receiving ketamine, intermediate for those receiving isoflurane, and least for control mice (partial η2 = 0.88, 95% CI = 0.82, 0.91). In immunocompetent mice, significantly decreased T lymphocyte (partial η2 = 0.83, 95% CI = 0.29, 0.93) and monocyte (partial η2 = 0.90, 95% CI = 0.52, 0.96) infiltration was observed in anesthetic-treated mice versus controls. Conclusions: The immune system appears central to the pro-metastatic effects of isoflurane and ketamine in a murine model, with decreased T lymphocytes and monocytes likely playing a role.","Modeling, Cell Culture, Immunohistochemistry Staining Method",Lung Carcinoma,"Lung, Liver",Not Applicable,Open Access
PublicationView,,,,10.3389/fcell.2023.1058727,Front Cell Dev Biol,37397244,https://pubmed.ncbi.nlm.nih.gov/37397244,Nuclear shapes are geometrically determined by the excess surface area of the nuclear lamina,2023,"Nuclear lamina, Nuclear Shape, Cell Shape, Cell Cortex, Mechanotranduction, Nuclear Morphology And Function","Richard B Dickinson, Tanmay P Lele","Nuclei have characteristic shapes dependent on cell type, which are critical for proper cell function, and nuclei lose their distinct shapes in multiple diseases including cancer, laminopathies, and progeria. Nuclear shapes result from deformations of the sub-nuclear components-nuclear lamina and chromatin. How these structures respond to cytoskeletal forces to form the nuclear shape remains unresolved. Although the mechanisms regulating nuclear shape in human tissues are not fully understood, it is known that different nuclear shapes arise from cumulative nuclear deformations post-mitosis, ranging from the rounded morphologies that develop immediately after mitosis to the various nuclear shapes that roughly correspond to cell shape (<i>e.g.,</i> elongated nuclei in elongated cells, flat nuclei in flat cells). <b>Methods:</b> We formulated a mathematical model to predict nuclear shapes of cells in various contexts under the geometric constraints of fixed cell volume, nuclear volume and lamina surface area. Nuclear shapes were predicted and compared to experiments for cells in various geometries, including isolated on a flat surface, on patterned rectangles and lines, within a monolayer, isolated in a well, or when the nucleus is impinging against a slender obstacle. <b>Results and Discussion:</b> The close agreement between predicted and experimental shapes demonstrates a simple geometric principle of nuclear shaping: the excess surface area of the nuclear lamina (relative to that of a sphere of the same volume) permits a wide range of highly deformed nuclear shapes under the constraints of constant surface area and constant volume. When the lamina is smooth (tensed), the nuclear shape can be predicted entirely from these geometric constraints alone for a given cell shape. This principle explains why flattened nuclear shapes in fully spread cells are insensitive to the magnitude of the cytoskeletal forces. Also, the surface tension in the nuclear lamina and nuclear pressure can be estimated from the predicted cell and nuclear shapes when the cell cortical tension is known, and the predictions are consistent with measured forces. These results show that excess surface area of the nuclear lamina is the key determinant of nuclear shapes. When the lamina is smooth (tensed), the nuclear shape can be determined purely by the geometric constraints of constant (but excess) nuclear surface area, nuclear volume, and cell volume, for a given cell adhesion footprint, independent of the magnitude of the cytoskeletal forces involved.",Mathematical Modeling,Not Applicable,Not Applicable,Not Applicable,Open Access
