File Paths,folderIdPublication
./output/output_feb/CA238475_publication.csv,syn32698134
./output/output_feb/CA263001_publication.csv,syn43447092
./output/output_feb/CA284086_publication.csv,syn53212982
./output/output_feb/CA193461_publication.csv,syn32698203
./output/output_feb/CA280829_publication.csv,syn53212957
./output/output_feb/CA202229_publication.csv,syn32698251
./output/output_feb/CA217376_publication.csv,syn32698091
./output/output_feb/CA250046_publication.csv,syn32698310
./output/output_feb/CA227544_publication.csv,syn32698119
./output/output_feb/CA193489_publication.csv,syn32698198
./output/output_feb/CA279560_publication.csv,syn53212952
./output/output_feb/CA268083_publication.csv,syn35270525
./output/output_feb/CA253547_publication.csv,syn32698467
./output/output_feb/CA232137_publication.csv,syn32698071
./output/output_feb/CA264583_publication.csv,syn35270603
./output/output_feb/CA209997_publication.csv,
./output/output_feb/CA209971_publication.csv,syn32698166
./output/output_feb/CA274506_publication.csv,syn32698150
./output/output_feb/CA199315_publication.csv,syn32698278
./output/output_feb/CA254886_publication.csv,syn32698517
./output/output_feb/CA254200_publication.csv,syn35270477
./output/output_feb/CA225088_publication.csv,syn32698012
./output/output_feb/CA215798_publication.csv,syn32698037
./output/output_feb/CA256054_publication.csv,syn35270510
./output/output_feb/CA214411_publication.csv,syn32698362
./output/output_feb/CA225566_publication.csv,syn32698345
./output/output_feb/CA228963_publication.csv,syn32698472
./output/output_feb/CA264610_publication.csv,syn32698493
./output/output_feb/CA232382_publication.csv,syn32698080
./output/output_feb/CA209891_publication.csv,syn32698008
./output/output_feb/CA238720_publication.csv,syn32698104
./output/output_feb/CA210152_publication.csv,syn32698024
./output/output_feb/CA268069_publication.csv,syn35270515
