Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,
PublicationView,CA202229,PS-ON,"Microenvironment, Heterogeneity",10.1038/s41540-023-00327-z,NPJ Syst Biol Appl,38182612,https://pubmed.ncbi.nlm.nih.gov/38182612,Exploring chronic and transient tumor hypoxia for predicting the efficacy of hypoxia-activated pro-drugs,2024,,"Shreya Mathur, Shannon Chen, Katarzyna A Rejniak","Hypoxia, a low level of oxygen in the tissue, arises due to an imbalance between the vascular oxygen supply and oxygen demand by the surrounding cells. Typically, hypoxia is viewed as a negative marker of patients' survival, because of its implication in the development of aggressive tumors and tumor resistance. Several drugs that specifically target the hypoxic cells have been developed, providing an opportunity for exploiting hypoxia to improve cancer treatment. Here, we consider combinations of hypoxia-activated pro-drugs (HAPs) and two compounds that transiently increase intratumoral hypoxia: a vasodilator and a metabolic sensitizer. To effectively design treatment protocols with multiple compounds we used mathematical micro-pharmacology modeling and determined treatment schedules that take advantage of heterogeneous and dynamically changing oxygenation in tumor tissue. Our model was based on data from murine pancreatic cancers treated with evofosfamide (as a HAP) and either hydralazine (as a vasodilator), or pyruvate (as a metabolic sensitizer). Subsequently, this model was used to identify optimal schedules for different treatment combinations. Our simulations showed that schedules of HAPs with the vasodilator had a bimodal distribution, while HAPs with the sensitizer showed an elongated plateau. All schedules were more successful than HAP monotherapy. The three-compound combination had three local optima, depending on the HAPs clearance from the tissue interstitium, each two-fold more effective than baseline HAP treatment. Our study indicates that the three-compound therapy administered in the defined order will improve cancer response and that designing complex schedules could benefit from the use of mathematical modeling.",Mathematical Modeling,Pancreatic Carcinoma,Pancreas,Not Applicable,Open Access,
PublicationView,CA225088,CSBC,"Microenvironment, Drug Resistance/Sensitivity",10.1038/s41523-023-00605-3,NPJ Breast Cancer,38167908,https://pubmed.ncbi.nlm.nih.gov/38167908,Qualification of a multiplexed tissue imaging assay and detection of novel patterns of HER2 heterogeneity in breast cancer,2024,,"Jennifer L Guerriero, Jia-Ren Lin, Ricardo G Pastorello, Ziming Du, Yu-An Chen, Madeline G Townsend, Kenichi Shimada, Melissa E Hughes, Siyang Ren, Nabihah Tayob, Kelly Zheng, Shaolin Mei, Alyssa Patterson, Krishan L Taneja, Otto Metzger, Sara M Tolaney, Nancy U Lin, Deborah A Dillon, Stuart J Schnitt, Peter K Sorger, Elizabeth A Mittendorf, Sandro Santagata","Emerging data suggests that HER2 intratumoral heterogeneity (ITH) is associated with therapy resistance, highlighting the need for new strategies to assess HER2 ITH. A promising approach is leveraging multiplexed tissue analysis techniques such as cyclic immunofluorescence (CyCIF), which enable visualization and quantification of 10-60 antigens at single-cell resolution from individual tissue sections. In this study, we qualified a breast cancer-specific antibody panel, including HER2, ER, and PR, for multiplexed tissue imaging. We then compared the performance of these antibodies against established clinical standards using pixel-, cell- and tissue-level analyses, utilizing 866 tissue cores (representing 294 patients). To ensure reliability, the CyCIF antibodies were qualified against HER2 immunohistochemistry (IHC) and fluorescence in situ hybridization (FISH) data from the same samples. Our findings demonstrate the successful qualification of a breast cancer antibody panel for CyCIF, showing high concordance with established clinical antibodies. Subsequently, we employed the qualified antibodies, along with antibodies for CD45, CD68, PD-L1, p53, Ki67, pRB, and AR, to characterize 567 HER2+ invasive breast cancer samples from 189 patients. Through single-cell analysis, we identified four distinct cell clusters within HER2+ breast cancer exhibiting heterogeneous HER2 expression. Furthermore, these clusters displayed variations in ER, PR, p53, AR, and PD-L1 expression. To quantify the extent of heterogeneity, we calculated heterogeneity scores based on the diversity among these clusters. Our analysis revealed expression patterns that are relevant to breast cancer biology, with correlations to HER2 ITH and potential relevance to clinical outcomes.","Cyclic Immunofluorescence, Imaging       ",Breast Carcinoma,Breast,Not Applicable,Open Access,
PublicationView,CA217376,CSBC,"Microenvironment, Heterogeneity, Epigenetics, Evolution",10.1158/0008-5472.can-22-2654,Cancer Res,37963212,https://pubmed.ncbi.nlm.nih.gov/37963212,Deep Learning Enables Spatial Mapping of the Mosaic Microenvironment of Myeloma Bone Marrow Trephine Biopsies,2024,,"Yeman Brhane Hagos, Catherine S Y Lecat, Dominic Patel, Anna Mikolajczak, Simon P Castillo, Emma J Lyon, Kane Foster, Thien-An Tran, Lydia S H Lee, Manuel Rodriguez-Justo, Kwee L Yong, Yinyin Yuan","Bone marrow trephine biopsy is crucial for the diagnosis of multiple myeloma. However, the complexity of bone marrow cellular, morphologic, and spatial architecture preserved in trephine samples hinders comprehensive evaluation. To dissect the diverse cellular communities and mosaic tissue habitats, we developed a superpixel-inspired deep learning method (MoSaicNet) that adapts to complex tissue architectures and a cell imbalance aware deep learning pipeline (AwareNet) to enable accurate detection and classification of rare cell types in multiplex immunohistochemistry images. MoSaicNet and AwareNet achieved an AUC of >0.98 for tissue and cellular classification on separate test datasets. Application of MoSaicNet and AwareNet enabled investigation of bone heterogeneity and thickness as well as spatial histology analysis of bone marrow trephine samples from monoclonal gammopathies of undetermined significance (MGUS) and from paired newly diagnosed and posttreatment multiple myeloma. The most significant difference between MGUS and newly diagnosed multiple myeloma (NDMM) samples was not related to cell density but to spatial heterogeneity, with reduced spatial proximity of BLIMP1+ tumor cells to CD8+ cells in MGUS compared with NDMM samples. Following treatment of patients with multiple myeloma, there was a reduction in the density of BLIMP1+ tumor cells, effector CD8+ T cells, and regulatory T cells, indicative of an altered immune microenvironment. Finally, bone heterogeneity decreased following treatment of patients with multiple myeloma. In summary, deep learning-based spatial mapping of bone marrow trephine biopsies can provide insights into the cellular topography of the myeloma marrow microenvironment and complement aspirate-based techniques. Significance: Spatial analysis of bone marrow trephine biopsies using histology, deep learning, and tailored algorithms reveals the bone marrow architectural heterogeneity and evolution during myeloma progression and treatment.",Deep Learning,Multiple Myeloma,Not Applicable,Not Applicable,Open Access,
PublicationView,CA228963,PS-ON,Tumor-Immune,10.1038/s41586-023-06947-z,Nature,38096902,https://pubmed.ncbi.nlm.nih.gov/38096902,"Structures, functions and adaptations of the human LINE-1 ORF2 protein",2024,,"Eric T Baldwin, Trevor van Eeuwen, David Hoyos, Arthur Zalevsky, Egor P Tchesnokov, Roberto Sánchez, Bryant D Miller, Luciano H Di Stefano, Francesc Xavier Ruiz, Matthew Hancock, Esin Işik, Carlos Mendez-Dorantes, Thomas Walpole, Charles Nichols, Paul Wan, Kirsi Riento, Rowan Halls-Kass, Martin Augustin, Alfred Lammens, Anja Jestel, Paula Upla, Kera Xibinaku, Samantha Congreve, Maximiliaan Hennink, Kacper B Rogala, Anna M Schneider, Jennifer E Fairman, Shawn M Christensen, Brian Desrosiers, Gregory S Bisacchi, Oliver L Saunders, Nafeeza Hafeez, Wenyan Miao, Rosana Kapeller, Dennis M Zaller, Andrej Sali, Oliver Weichenrieder, Kathleen H Burns, Matthias Götte, Michael P Rout, Eddy Arnold, Benjamin D Greenbaum, Donna L Romero, John LaCava, Martin S Taylor","The LINE-1 (L1) retrotransposon is an ancient genetic parasite that has written around one-third of the human genome through a 'copy and paste' mechanism catalysed by its multifunctional enzyme, open reading frame 2 protein (ORF2p)<sup>1</sup>. ORF2p reverse transcriptase (RT) and endonuclease activities have been implicated in the pathophysiology of cancer<sup>2,3</sup>, autoimmunity<sup>4,5</sup> and ageing<sup>6,7</sup>, making ORF2p a potential therapeutic target. However, a lack of structural and mechanistic knowledge has hampered efforts to rationally exploit it. We report structures of the human ORF2p 'core' (residues 238-1061, including the RT domain) by X-ray crystallography and cryo-electron microscopy in several conformational states. Our analyses identified two previously undescribed folded domains, extensive contacts to RNA templates and associated adaptations that contribute to unique aspects of the L1 replication cycle. Computed integrative structural models of full-length ORF2p show a dynamic closed-ring conformation that appears to open during retrotransposition. We characterize ORF2p RT inhibition and reveal its underlying structural basis. Imaging and biochemistry show that non-canonical cytosolic ORF2p RT activity can produce RNA:DNA hybrids, activating innate immune signalling through cGAS/STING and resulting in interferon production<sup>6-8</sup>. In contrast to retroviral RTs, L1 RT is efficiently primed by short RNAs and hairpins, which probably explains cytosolic priming. Other biochemical activities including processivity, DNA-directed polymerization, non-templated base addition and template switching together allow us to propose a revised L1 insertion model. Finally, our evolutionary analysis demonstrates structural conservation between ORF2p and other RNA- and DNA-dependent polymerases. We therefore provide key mechanistic insights into L1 polymerization and insertion, shed light on the evolutionary history of L1 and enable rational drug development targeting L1.","X-Ray Crystallography, Cryo-Electron Microscopy, Modeling",Pan-cancer,Not Applicable,PXD038615,Open Access,
PublicationView,CA210152,PS-ON,"Microenvironment, Metastasis",10.1002/mrm.30016,Magn Reson Med,38265182,https://pubmed.ncbi.nlm.nih.gov/38265182,Quantitative MRI reveals heterogeneous impacts of treatment on diseased bone marrow in a mouse model of myelofibrosis,2024,"Bone marrow, MRI, Myelofibrosis, Treatment Response","Tanner H Robison, Winston Lee, Kathryn E Luker, Kristen Pettit, Moshe Talpaz, Thomas L Chenevert, Brian D Ross, Gary D Luker","Purpose: Analyzing bone marrow in the hematologic cancer myelofibrosis requires endpoint histology in mouse models and bone marrow biopsies in patients. These methods hinder the ability to monitor therapy over time. Preclinical studies typically begin treatment before mice develop myelofibrosis, unlike patients who begin therapy only after onset of disease. Using clinically relevant, quantitative MRI metrics allowed us to evaluate treatment in mice with established myelofibrosis. Methods: We used chemical shift-encoded fat imaging, DWI, and magnetization transfer sequences to quantify bone marrow fat, cellularity, and macromolecular components in a mouse model of myelofibrosis. We monitored spleen volume, the established imaging marker for treatment, with anatomic MRI. After confirming bone marrow disease by MRI, we randomized mice to treatment with an approved drug (ruxolitinib or fedratinib) or an investigational agent, navitoclax, for 33 days. We measured the effects of therapy over time with bone marrow and spleen MRI. Results: All treatments produced heterogeneous responses with improvements in bone marrow evident in subsets of individual mice in all treatment groups. Reductions in spleen volume commonly occurred without corresponding improvement in bone marrow. MRI revealed patterns associated with effective and ineffective responses to treatment in bone marrow and identified regional variations in efficacy within a bone. Conclusions: Quantitative MRI revealed modest, heterogeneous improvements in bone marrow disease when treating mice with established myelofibrosis. These results emphasize the value of bone marrow MRI to assess treatment in preclinical models and the potential to advance clinical trials for patients.","Magnetic Resonance Imaging, ",Primary Myelofibrosis        ,Bone Marrow        ,Not Applicable,Open Access,
PublicationView,CA209891,CSBC,"Drug Resistance/Sensitivity, Heterogeneity, Evolution",10.1038/s41587-023-02014-0,Nat Biotechnol,38168984,https://pubmed.ncbi.nlm.nih.gov/38168984,Large-scale evaluation of the ability of RNA-binding proteins to activate exon inclusion,2024,,"Jonathan C Schmok, Manya Jain, Lena A Street, Alex T Tankka, Danielle Schafer, Hsuan-Lin Her, Sara Elmsaouri, Maya L Gosztyla, Evan A Boyle, Pratibha Jagannatha, En-Ching Luo, Ester J Kwon, Marko Jovanovic, Gene W Yeo","RNA-binding proteins (RBPs) modulate alternative splicing outcomes to determine isoform expression and cellular survival. To identify RBPs that directly drive alternative exon inclusion, we developed tethered function luciferase-based splicing reporters that provide rapid, scalable and robust readouts of exon inclusion changes and used these to evaluate 718 human RBPs. We performed enhanced cross-linking immunoprecipitation, RNA sequencing and affinity purification-mass spectrometry to investigate a subset of candidates with no prior association with splicing. Integrative analysis of these assays indicates surprising roles for TRNAU1AP, SCAF8 and RTCA in the modulation of hundreds of endogenous splicing events. We also leveraged our tethering assays and top candidates to identify potent and compact exon inclusion activation domains for splicing modulation applications. Using these identified domains, we engineered programmable fusion proteins that outperform current artificial splicing factors at manipulating inclusion of reporter and endogenous exons. This tethering approach characterizes the ability of RBPs to induce exon inclusion and yields new molecular parts for programmable splicing control.","Luciferase Reporter Assay, Gene Ontology Enrichment Analysis, Western Blotting, Liquid Chromatography Mass Spectrometry         ",Pan-cancer,Not Applicable,GSE232599,Open Access,
PublicationView,CA256054,TEC,"Mechano-resistance, Metastasis, Platform Development",10.1016/j.jim.2023.113601,J Immunol Methods,38092224,https://pubmed.ncbi.nlm.nih.gov/38092224,Tumor nano-lysate activates dendritic cells to evoke a preventative immune response,2024,"Cancer vaccines, Antigen-presenting cells, immunology","Jenna A Dombroski, Abigail R Fabiano, Samantha V Knoblauch, Schyler J Rowland, Katherine N Gibson-Corley, Michael R King","A tumor nano-lysate ""TNL"" vaccine comprised of sonicated 4T1 cells was developed, characterized and implemented for the prevention of triple-negative breast cancer. This study aimed to gain a better understanding of the immune response behind the success of the vaccine in vivo, through use of ex vivo and in vivo assays. Here, we analyze the activation of various immune cells isolated from healthy mouse spleens and find that antigen-presenting cells (APCs) such as dendritic cells (DCs) are being activated following 24 h incubation with 1:10 mg TNL/mg splenocytes. These cells were further explored to determine the pathway by which activation is occurring, and it was observed that TNL are phagocytosed by DCs to activate NF-kB and c-Fos pathways, resulting in enhanced cytokine release after 24 h. An in vivo temporal analysis was performed in mice to understand the immune response at 1, 3, 7 and 10 days after one 100 μL dose of TNL consisting of 10<sup>5</sup> sonicated 4T1 cells via cardiac puncture and splenocyte and peripheral blood mononuclear cell (PBMC) analysis. Changes were observed for up to one week. A multiple dose study was performed comparing mice that were vaccinated with one dose of TNL administered every ten days for 3 doses total, as well as a PBS vehicle control. Survival for TNL-vaccinated mice was enhanced compared to the PBS control, and there was an average delay of 10 days in the onset of metastasis. The differences between the groups at the end of the study demonstrate the potential for TNL as a preventative therapeutic.",Immunotherapy,Breast Neoplasm       ,Breast,Not Applicable,Open Access,
PublicationView,CA250046,PS-ON,"Heterogeneity, Epigenetics, Evolution",10.1038/s41375-024-02142-9,Leukemia,38307941,https://pubmed.ncbi.nlm.nih.gov/38307941,State-transition modeling of blood transcriptome predicts disease evolution and treatment response in chronic myeloid leukemia,2024,,"David E Frankhouser, Russell C Rockne, Lisa Uechi, Dandan Zhao, Sergio Branciamore, Denis O'Meally, Jihyun Irizarry, Lucy Ghoda, Haris Ali, Jeffery M Trent, Stephen Forman, Yu-Hsuan Fu, Ya-Huei Kuo, Bin Zhang, Guido Marcucci","Chronic myeloid leukemia (CML) is initiated and maintained by BCR::ABL which is clinically targeted using tyrosine kinase inhibitors (TKIs). TKIs can induce long-term remission but are also not curative. Thus, CML is an ideal system to test our hypothesis that transcriptome-based state-transition models accurately predict cancer evolution and treatment response. We collected time-sequential blood samples from tetracycline-off (Tet-Off) BCR::ABL-inducible transgenic mice and wild-type controls. From the transcriptome, we constructed a CML state-space and a three-well leukemogenic potential landscape. The potential's stable critical points defined observable disease states. Early states were characterized by anti-CML genes opposing leukemia; late states were characterized by pro-CML genes. Genes with expression patterns shaped similarly to the potential landscape were identified as drivers of disease transition. Re-introduction of tetracycline to silence the BCR::ABL gene returned diseased mice transcriptomes to a near healthy state, without reaching it, suggesting parts of the transition are irreversible. TKI only reverted the transcriptome to an intermediate disease state, without approaching a state of health; disease relapse occurred soon after treatment. Using only the earliest time-point as initial conditions, our state-transition models accurately predicted both disease progression and treatment response, supporting this as a potentially valuable approach to time clinical intervention, before phenotypic changes become detectable.","RNA Sequencing, Mathematical Modeling",Chronic Myeloid Leukemia         ,Blood,Not Applicable,Open Access,
PublicationView,CA268069,CCBIR,"Tumor-Immune, Microenvironment, Immunotherapy, Platform Development",10.1016/j.actbio.2024.01.025,Acta Biomater,38272198,https://pubmed.ncbi.nlm.nih.gov/38272198,Unexpected softening of a fibrous matrix by contracting inclusions,2024,"Extracellular matrix, Stiffness, Buckling, Fiber Network, Cell–matrix Interaction","Mainak Sarkar, Brian M Burkel, Suzanne M Ponik, Jacob Notbohm","Cells respond to the stiffness of their surrounding environment, but quantifying the stiffness of a fibrous matrix at the scale of a cell is complicated, due to the effects of nonlinearity and complex force transmission pathways resulting from randomness in fiber density and connections. While it is known that forces produced by individual contractile cells can stiffen the matrix, it remains unclear how simultaneous contraction of multiple cells in a fibrous matrix alters the stiffness at the scale of a cell. Here, we used computational modeling and experiments to quantify the stiffness of a random fibrous matrix embedded with multiple contracting inclusions, which mimicked the contractile forces of a cell. The results showed that when the matrix was free to contract as a result of the forces produced by the inclusions, the matrix softened rather than stiffened, which was surprising given that the contracting inclusions applied tensile forces to the matrix. Using the computational model, we identified that the underlying cause of the softening was that the majority of the fibers were under a local state of axial compression, causing buckling. We verified that this buckling-induced matrix softening was sufficient for cells to sense and respond by altering their morphology and force generation. Our findings reveal that the localized forces induced by cells do not always stiffen the matrix; rather, softening can occur in instances wherein the matrix can contract in response to the cell-generated forces. This study opens up new possibilities to investigate whether cell-induced softening contributes to maintenance of homeostatic conditions or progression of disease. STATEMENT OF SIGNIFICANCE: Mechanical interactions between cells and the surrounding matrix strongly influence cellular functions. Cell-induced forces can alter matrix properties, and much prior literature in this area focused on the influence of individual contracting cells. Cells in tissues are rarely solitary; rather, they are interspersed with neighboring cells throughout the matrix. As a result, the mechanics are complicated, leaving it unclear how the multiple contracting cells affect matrix stiffness. Here, we show that multiple contracting inclusions within a fibrous matrix can cause softening that in turn affects cell sensing and response. Our findings provide new directions to determine impacts of cell-induced softening on maintenance of tissue or progression of disease.",Computational Modeling,Breast Carcinoma,Not Applicable,Not Applicable,Open Access,
PublicationView,CA238720,CSBC,Drug Resistance/Sensitivity,10.1186/s12943-023-01921-9,Mol Cancer,38229082,https://pubmed.ncbi.nlm.nih.gov/38229082,Patient-specific signaling signatures predict optimal therapeutic combinations for triple negative breast cancer,2024,"EGFR, Information theory, Targeted Therapy, Triple-negative Breast Cancer, Phosphotyrosine Proteomics, Personalized Combined Treatment, Patient-specific Signaling Signatures","Heba Alkhatib, Jason Conage-Pough, Sangita Roy Chowdhury, Denen Shian, Deema Zaid, Ariel M Rubinstein, Amir Sonnenblick, Tamar Peretz-Yablonsky, Avital Granit, Einat Carmon, Ishwar N Kohale, Judy C Boughey, Matthew P Goetz, Liewei Wang, Forest M White, Nataly Kravchenko-Balasha","Triple negative breast cancer (TNBC) is a heterogeneous group of tumors which lack estrogen receptor, progesterone receptor, and HER2 expression. Targeted therapies have limited success in treating TNBC, thus a strategy enabling effective targeted combinations is an unmet need. To tackle these challenges and discover individualized targeted combination therapies for TNBC, we integrated phosphoproteomic analysis of altered signaling networks with patient-specific signaling signature (PaSSS) analysis using an information-theoretic, thermodynamic-based approach. Using this method on a large number of TNBC patient-derived tumors (PDX), we were able to thoroughly characterize each PDX by computing a patient-specific set of unbalanced signaling processes and assigning a personalized therapy based on them. We discovered that each tumor has an average of two separate processes, and that, consistent with prior research, EGFR is a major core target in at least one of them in half of the tumors analyzed. However, anti-EGFR monotherapies were predicted to be ineffective, thus we developed personalized combination treatments based on PaSSS. These were predicted to induce anti-EGFR responses or to be used to develop an alternative therapy if EGFR was not present.In-vivo experimental validation of the predicted therapy showed that PaSSS predictions were more accurate than other therapies. Thus, we suggest that a detailed identification of molecular imbalances is necessary to tailor therapy for each TNBC. In summary, we propose a new strategy to design personalized therapy for TNBC using pY proteomics and PaSSS analysis. This method can be applied to different cancer types to improve response to the biomarker-based treatment.","Patient Derived Xenograft, Computational Modeling",Triple-Negative Breast Carcinoma       ,Breast,Not Applicable,Open Access,
