Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA274502,CSBC,"Computational Resource, Heterogeneity",https://doi.org/10.1016/j.devcel.2024.11.021,Dev Cell,39706188,https://pubmed.ncbi.nlm.nih.gov/39706188,Global versus local matrix remodeling drives rotational versus invasive collective migration of epithelial cells,2024,"Matrix Metalloproteinase, adhesion, Mt1-mmp, Matrix Remodeling, Collective Migration, Adherens Junctions, Invasive Migration, Itgβ1, Rotational Migration","Sural K Ranamukhaarachchi, Alyssa Walker, Man-Ho Tang, William D Leineweber, Sophia Lam, Wouter-Jan Rappel, Stephanie I Fraley","The coordinated movement of cell collectives is essential for normal epithelial tissue development, maintenance, and cancer progression. Here, we report on a minimal 3D extracellular matrix (ECM) system wherein both invasive collective migration (ICM) and rotational collective migration (RCM) arise spontaneously from individually seeded epithelial cells of mammary and hepatic origin, regardless of whether they express adherens junctions, and lead to ductal-like and acinar-like structures, respectively. Quantitative microscopy and cellular Potts modeling reveal that initial differences in cell protrusion dynamics and matrix-remodeling localization generate RCM and ICM behavior in confining 3D ECM. Matrix-remodeling activity by matrix metalloproteinases (MMPs) is localized to the base of protrusions in cells that initiate ICM, whereas RCM does not require MMPs and is associated with ITGβ1-mediated remodeling localized globally around the cell body. Further analysis in vitro and in vivo supports the concept that distinct matrix-remodeling strategies encode collective migration behaviors and tissue structure.","Western Blotting, Fluorescence Imaging, Immunohistochemistry Staining Method",Pan-cancer,Not Applicable,,Open Access
PublicationView,CA253472,CSBC,"Tumor-Immune, Drug Resistance/Sensitivity",https://doi.org/10.1186/s13073-024-01393-6,Genome Med,39468667,https://pubmed.ncbi.nlm.nih.gov/39468667,Developmental-status-aware transcriptional decomposition establishes a cell state panorama of human cancers,2024,"Cell differentiation, organogenesis, Gene Expression, Stemness, Tcga, Pan-cancer, Scrna-seq, Prognostic And Predictive Biomarkers, Oncofetal Reprogramming, Transcriptional Decomposition","Yikai Luo, Han Liang","Background: Cancer cells evolve under unique functional adaptations that unlock transcriptional programs embedded in adult stem and progenitor-like cells for progression, metastasis, and therapeutic resistance. However, it remains challenging to quantify the stemness-aware cell state of a tumor based on its gene expression profile. Methods: We develop a developmental-status-aware transcriptional decomposition strategy using single-cell RNA-sequencing-derived tissue-specific fetal and adult cell signatures as anchors. We apply our method to various biological contexts, including developing human organs, adult human tissues, experimentally induced differentiation cultures, and bulk human tumors, to benchmark its performance and to reveal novel biology of entangled developmental signaling in oncogenic processes. Results: Our strategy successfully captures complex dynamics in developmental tissue bulks, reveals remarkable cellular heterogeneity in adult tissues, and resolves the ambiguity of cell identities in in vitro transformations. Applying it to large patient cohorts of bulk RNA-seq, we identify clinically relevant cell-of-origin patterns and observe that decomposed fetal cell signals significantly increase in tumors versus normal tissues and metastases versus primary tumors. Across cancer types, the inferred fetal-state strength outperforms published stemness indices in predicting patient survival and confers substantially improved predictive power for therapeutic responses. Conclusions: Our study not only provides a general approach to quantifying developmental-status-aware cell states of bulk samples but also constructs an information-rich, biologically interpretable, cell-state panorama of human cancers, enabling diverse translational applications.","RNA Sequencing, Mathematical Modeling",Pan-cancer,Not Applicable,,Open Access
PublicationView,CA261701,MetNet,"Tumor-Immune, Metastasis, Microenvironment",https://doi.org/10.1038/s41586-024-07767-5,Nature,39112700,https://pubmed.ncbi.nlm.nih.gov/39112700,Neuronal substance P drives metastasis through an extracellular RNA-TLR7 axis,2024,,"Veena Padmanaban, Isabel Keller, Ethan S Seltzer, Benjamin N Ostendorf, Zachary Kerner, Sohail F Tavazoie","Tumour innervation is associated with worse patient outcomes in multiple cancers<sup>1,2</sup>, which suggests that it may regulate metastasis. Here we observed that highly metastatic mouse mammary tumours acquired more innervation than did less-metastatic tumours. This enhanced innervation was driven by expression of the axon-guidance molecule SLIT2 in tumour vasculature. Breast cancer cells induced spontaneous calcium activity in sensory neurons and elicited release of the neuropeptide substance P (SP). Using three-dimensional co-cultures and in vivo models, we found that neuronal SP promoted breast tumour growth, invasion and metastasis. Moreover, patient tumours with elevated SP exhibited enhanced lymph node metastatic spread. SP acted on tumoral tachykinin receptors (TACR1) to drive death of a small population of TACR1<sup>high</sup> cancer cells. Single-stranded RNAs (ssRNAs) released from dying cells acted on neighbouring tumoural Toll-like receptor 7 (TLR7) to non-canonically activate a prometastatic gene expression program. This SP- and ssRNA-induced Tlr7 gene expression signature was associated with reduced breast cancer survival outcomes. Therapeutic targeting of this neuro-cancer axis with the TACR1 antagonist aprepitant, an approved anti-nausea drug, suppressed breast cancer growth and metastasis in multiple models. Our findings reveal that tumour-induced hyperactivation of sensory neurons regulates multiple aspects of metastatic progression in breast cancer through a therapeutically targetable neuropeptide/extracellular ssRNA sensing axis.","Murine Model, Viral Transduction, siRNA, Western Blotting, Fluorescence Imaging, qPCR, Flow Cytometry, RNA Sequencing",Breast Carcinoma,Breast,"SRX24613796, GSE267958, SRP508791, SRX24613794, SRX24613789, SRX24613792, SRX24613791, SRX24613795, SRX24613790, SRX24613793",Open Access
PublicationView,CA214297,PS-ON,"Metastasis, Microenvironment",https://doi.org/10.1038/s41467-024-55140-x,Nat Commun,39746954,https://pubmed.ncbi.nlm.nih.gov/39746954,Tumor cell-based liquid biopsy using high-throughput microfluidic enrichment of entire leukapheresis product,2025,,"Avanish Mishra, Shih-Bo Huang, Taronish Dubash, Risa Burr, Jon F Edd, Ben S Wittner, Quinn E Cunneely, Victor R Putaturo, Akansha Deshpande, Ezgi Antmen, Kaustav A Gopinathan, Keisuke Otani, Yoshiyuki Miyazawa, Ji Eun Kwak, Sara Y Guay, Justin Kelly, John Walsh, Linda T Nieman, Isabella Galler, PuiYee Chan, Michael S Lawrence, Ryan J Sullivan, Aditya Bardia, Douglas S Micalizzi, Lecia V Sequist, Richard J Lee, Joseph W Franses, David T Ting, Patricia A R Brunker, Shyamala Maheswaran, David T Miyamoto, Daniel A Haber, Mehmet Toner","Circulating Tumor Cells (CTCs) in blood encompass DNA, RNA, and protein biomarkers, but clinical utility is limited by their rarity. To enable tumor epitope-agnostic interrogation of large blood volumes, we developed a high-throughput microfluidic device, depleting hematopoietic cells through high-flow channels and force-amplifying magnetic lenses. Here, we apply this technology to analyze patient-derived leukapheresis products, interrogating a mean blood volume of 5.83 liters from seven patients with metastatic cancer. High CTC yields (mean 10,057 CTCs per patient; range 100 to 58,125) reveal considerable intra-patient heterogeneity. CTC size varies within patients, with 67% overlapping in diameter with WBCs. Paired single-cell DNA and RNA sequencing identifies subclonal patterns of aneuploidy and distinct signaling pathways within CTCs. In prostate cancers, a subpopulation of small aneuploid cells lacking epithelial markers is enriched for neuroendocrine signatures. Pooling of CNV-confirmed CTCs enables whole exome sequencing with high mutant allele fractions. High-throughput CTC enrichment thus enables cell-based liquid biopsy for comprehensive monitoring of cancer.","RNA Sequencing, Droplet Digital PCR",Pan-Cancer,Not Applicable,,Open Access
PublicationView,CA210152,PS-ON,"Metastasis, Microenvironment",https://doi.org/10.1016/j.neo.2024.101036,Neoplasia,39173508,https://pubmed.ncbi.nlm.nih.gov/39173508,Characterization of circulating tumor cells in patients with metastatic bladder cancer utilizing functionalized microfluidics,2024,"EGFR, Differential gene expression, Bladder cancer, Her2, Cd31, Circulating Tumor Cells, Adam15, Targeted Transcriptome Sequencing, Graphene Oxide Microfluidic Chip","Zeqi Niu, Molly Kozminsky, Kathleen C Day, Luke J Broses, Marian L Henderson, Christopher Patsalis, Rebecca Tagett, Zhaoping Qin, Sarah Blumberg, Zachery R Reichert, Sofia D Merajver, Aaron M Udager, Phillip L Palmbos, Sunitha Nagrath, Mark L Day","Assessing the molecular profiles of bladder cancer (BC) from patients with locally advanced or metastatic disease provides valuable insights, such as identification of invasive markers, to guide personalized treatment. Currently, most molecular profiling of BC is based on highly invasive biopsy or transurethral tumor resection. Liquid biopsy takes advantage of less-invasive procedures to longitudinally profile disease. Circulating tumor cells (CTCs) isolated from blood are one of the key analytes of liquid biopsy. In this study, we developed a protein and mRNA co-analysis workflow for BC CTCs utilizing the graphene oxide (GO) microfluidic chip. The GO chip was conjugated with antibodies against both EpCAM and EGFR to isolate CTCs from 1 mL of blood drawn from BC patients. Following CTC capture, protein and mRNA were analyzed using immunofluorescent staining and ion-torrent-based whole transcriptome sequencing, respectively. Elevated CTC counts were significantly associated with patient disease status at the time of blood draw. We found a count greater than 2.5 CTCs per mL was associated with shorter overall survival. The invasive markers EGFR, HER2, CD31, and ADAM15 were detected in CTC subpopulations. Whole transcriptome sequencing showed distinct RNA expression profiles from patients with or without tumor burden at the time of blood draw. In patients with advanced metastatic disease, we found significant upregulation of metastasis-related and chemotherapy-resistant genes. This methodology demonstrates the capability of GO chip-based assays to identify tumor-related RNA signatures, highlighting the prognostic potential of CTCs in metastatic BC patients.","Fluorescence Imaging, Mathematical Modeling",Bladder Carcinoma,Bladder,,Open Access
PublicationView,CA268084,CCBIR,"Platform Development, Epigenetics, Computational Model Development",https://doi.org/10.3389/fnmol.2024.1484964,Front Mol Neurosci,39703720,https://pubmed.ncbi.nlm.nih.gov/39703720,Transcorneal electrical stimulation restores DNA methylation changes in retinal degeneration,2024,"Retina, DNA methylation, Electrical stimulation, epigenomics, Retinal degeneration","Ben Yi Tew, Gerald C Gooden, Pei-An Lo, Dimitrios Pollalis, Brandon Ebright, Alex J Kalfa, Alejandra Gonzalez-Calle, Biju Thomas, David N Buckley, Thomas Simon, Zeyi Yang, Ege Iseri, Cody L Dunton, Vadim Backman, Stan Louie, Gianluca Lazzi, Mark S Humayun, Bodour Salhia","Background: Retinal degeneration is a major cause of irreversible blindness. Stimulation with controlled low-level electrical fields, such as transcorneal electrical stimulation (TES), has recently been postulated as a therapeutic strategy. With promising results, there is a need for detailed molecular characterization of the therapeutic effects of TES. Methods: Controlled, non-invasive TES was delivered using a custom contact lens electrode to the retinas of Royal College of Surgeons (RCS) rats, a model of retinal degeneration. DNA methylation in the retina, brain and cell-free DNA in plasma was assessed by reduced representation bisulfite sequencing (RRBS) and gene expression by RNA sequencing. Results: TES induced DNA methylation and gene expression changes implicated in neuroprotection in the retina of RCS rats. We devised an epigenomic-based retinal health score, derived from DNA methylation changes observed with disease progression in RCS rats, and showed that TES improved the epigenomic health of the retina. TES also induced DNA methylation changes in the superior colliculus: the brain which is involved in integrating visual signaling. Lastly, we demonstrated that TES-induced retinal DNA methylation changes were detectable in cell-free DNA derived from plasma. Conclusion: TES induced DNA methylation changes with therapeutic effects, which can be measured in circulation. Based on these changes, we were able to devise a liquid biopsy biomarker for retinal health. These findings shed light on the therapeutic potential and molecular underpinnings of TES, and provide a foundation for the further development of TES to improve the retinal health of patients with degenerative eye diseases.","Murine Model, Bisulfite Sequencing, RNA Sequencing",Retinoblastoma,Eye,,Open Access
PublicationView,CA217617,PDMC,"Drug Resistance/Sensitivity, Experimental Model Development",https://doi.org/10.1016/j.xpro.2023.102402,STAR Protoc,37402170,https://pubmed.ncbi.nlm.nih.gov/37402170,Breast cancer PDxO cultures for drug discovery and functional precision oncology,2023,"Cancer, Cell culture, Organoids, Model Organisms, Cell-based Assays","Sandra D Scherer, Ling Zhao, Andrew J Butterfield, Chieh-Hsiang Yang, Emilio Cortes-Sanchez, Katrin P Guillen, Bryan E Welm, Alana L Welm","Patient-derived xenografts (PDXs) have clinical value but are time-, cost-, and labor-intensive and thus ill-suited for large-scale experiments. Here, we present a protocol to convert PDX tumors into PDxOs for long-term cultures amenable to moderate-throughput drug screens, including in-depth PDxO validation. We describe steps for PDxO preparation and mouse cell removal. We then detail PDxO validation and characterization and drug response assay. Our PDxO drug screening platform can predict therapy response in vivo and inform functional precision oncology for patients. For complete details on the use and execution of this protocol, please refer to Guillen et al.<sup>1</sup>.",Patient Derived Xenograft,Pan-cancer,Not Applicable,,Open Access
PublicationView,CA274499,CSBC,"Oncogenic Stress, Metabolism",https://doi.org/10.1186/s13058-024-01931-5,Breast Cancer Res,39741344,https://pubmed.ncbi.nlm.nih.gov/39741344,Patient-derived response estimates from zero-passage organoids of luminal breast cancer,2024,"Matrigel, Tamoxifen, systems biology, sulforaphane, Nqo1, Luminal, Organoid, Tp73","Róża K Przanowska, Najwa Labban, Piotr Przanowski, Russell B Hawes, Kristen A Atkins, Shayna L Showalter, Kevin A Janes","Background: Primary luminal breast cancer cells lose their identity rapidly in standard tissue culture, which is problematic for testing hormone interventions and molecular pathways specific to the luminal subtype. Breast cancer organoids are thought to retain tumor characteristics better, but long-term viability of luminal-subtype cases is a persistent challenge. Our goal was to adapt short-term organoids of luminal breast cancer for parallel testing of genetic and pharmacologic perturbations. Methods: We freshly isolated patient-derived cells from luminal tumor scrapes, miniaturized the organoid format into 5 µl replicates for increased throughput, and set an endpoint of 14 days to minimize drift. Therapeutic hormone targeting was mimicked in these ""zero-passage"" organoids by withdrawing β-estradiol and adding 4-hydroxytamoxifen. We also examined sulforaphane as an electrophilic stress and commercial nutraceutical with reported anti-cancer properties. Downstream mechanisms were tested genetically by lentiviral transduction of two complementary sgRNAs and Cas9 stabilization for the first week of organoid culture. Transcriptional changes were measured by RT-qPCR or RNA sequencing (RNA-seq), and organoid phenotypes were quantified by serial brightfield imaging, digital image segmentation, and regression modeling of volumetric growth rates. Results: We achieved > 50% success in initiating luminal breast cancer organoids from tumor scrapes and maintaining them to the 14-day zero-passage endpoint. Success was mostly independent of clinical parameters, supporting general applicability of the approach. Abundance of ESR1 and PGR in zero-passage organoids consistently remained within the range of patient variability at the endpoint. However, responsiveness to hormone withdrawal and blockade was highly variable among luminal breast cancer cases tested. Combining sulforaphane with knockout of NQO1 (a phase II antioxidant response gene and downstream effector of sulforaphane) also yielded a breadth of organoid growth phenotypes, including growth inhibition with sulforaphane, growth promotion with NQO1 knockout, and growth antagonism when combined. Conclusions: Zero-passage organoids are a rapid and scalable way to interrogate properties of luminal breast cancer cells from patient-derived material. This includes testing drug mechanisms of action in different clinical cohorts. A future goal is to relate inter-patient variability of zero-passage organoids to long-term outcomes.","RNA Sequencing, RT-qPCR, Viral Transduction, Western Blotting",Breast Carcinoma,Breast,,Open Access
PublicationView,CA268069,CCBIR,"Platform Development, Tumor-Immune, Immunotherapy, Microenvironment",https://doi.org/10.3390/ijms25094706,Int J Mol Sci,38731924,https://pubmed.ncbi.nlm.nih.gov/38731924,Implementation of FRET Spectrometry Using Temporally Resolved Fluorescence: A Feasibility Study,2024,"Protein quaternary structure, Fluorescence Lifetime Imaging Microscopy (Flim), Protein–protein Interactions, Förster Resonance Energy Transfer (Fret), Fret Spectrometry, Spectrally Resolved Fluorescence, Temporally Resolved Fluorescence","Justin Trujillo, Aliyah S Khan, Dhruba P Adhikari, Michael R Stoneman, Jenu V Chacko, Kevin W Eliceiri, Valerica Raicu","Förster resonance energy transfer (FRET) spectrometry is a method for determining the quaternary structure of protein oligomers from distributions of FRET efficiencies that are drawn from pixels of fluorescence images of cells expressing the proteins of interest. FRET spectrometry protocols currently rely on obtaining spectrally resolved fluorescence data from intensity-based experiments. Another imaging method, fluorescence lifetime imaging microscopy (FLIM), is a widely used alternative to compute FRET efficiencies for each pixel in an image from the reduction of the fluorescence lifetime of the donors caused by FRET. In FLIM studies of oligomers with different proportions of donors and acceptors, the donor lifetimes may be obtained by fitting the temporally resolved fluorescence decay data with a predetermined number of exponential decay curves. However, this requires knowledge of the number and the relative arrangement of the fluorescent proteins in the sample, which is precisely the goal of FRET spectrometry, thus creating a conundrum that has prevented users of FLIM instruments from performing FRET spectrometry. Here, we describe an attempt to implement FRET spectrometry on temporally resolved fluorescence microscopes by using an integration-based method of computing the FRET efficiency from fluorescence decay curves. This method, which we dubbed <i>time-integrated FRET</i> (or tiFRET), was tested on oligomeric fluorescent protein constructs expressed in the cytoplasm of living cells. The present results show that tiFRET is a promising way of implementing FRET spectrometry and suggest potential instrument adjustments for increasing accuracy and resolution in this kind of study.",Forster Resonance Energy Transfer,Pan-cancer,Not Applicable,,Open Access
PublicationView,CA248890,TEC,"Platform Development, Tumor Progression",https://doi.org/10.1039/d4lc00771a,Lab Chip,39659219,https://pubmed.ncbi.nlm.nih.gov/39659219,Retinal organoid chip: engineering a physiomimetic oxygen gradient for optimizing long term culture of human retinal organoids,2024,,"Emma Drabbe, Daniel Pelaez, Ashutosh Agarwal","An oxygen gradient across the retina plays a crucial role in its development and function. The inner retina resides in a hypoxic environment (2% O<sub>2</sub>) adjacent to the vitreous cavity. Oxygenation levels rapidly increase towards the outer retina (18% O<sub>2</sub>) at the choroid. In addition to retinal stratification, oxygen levels are critical for the health of retinal ganglion cells (RGCs), which relay visual information from the retina to the brain. Human stem cell derived retinal organoids are being engineered to mimic the structure and function of human retina for applications such as disease modeling, development of therapeutics, and cell replacement therapies. However, rapid degeneration of the retinal ganglion cell layers are a common limitation of human retinal organoid platforms. We report the design of a novel retinal organoid chip (ROC) that maintains a physiologically relevant oxygen gradient and allows the maturation of inner and outer retinal cell phenotypes for human retinal organoids. Our PDMS-free ROC holds 55 individual retinal organoids that were manually seeded, cultured for extended periods (over 150 days), imaged <i>in situ</i>, and retrieved. ROC was designed from first principles of liquid and gas mass transport, and fabricated from biologically- and chemically inert materials using rapid prototyping techniques such as micromachining, laser cutting, 3D printing and bonding. After computational and experimental validation of oxygen gradients, human induced pluripotent stem cell derived retinal organoids were transferred into the ROC, differentiated, cultured and imaged within the chip. ROCs that maintained active perfusion and stable oxygen gradients were successful in inducing higher viability of RGCs within retinal organoids than static controls, or ROC without oxygen gradients. Our physiologically relevant and higher-throughput retinal organoid culture system is well suited for applications in studying developmental perturbations to primate retinogenesis, including those driven by inherited traits, fetal environmental exposure to toxic agents, or acquired by genetic mutations, such as retinoblastoma.","Fluorescence Imaging, Organoid",Retinoblastoma,Eye,,Open Access
