Component,DatasetView_id,Dataset Pubmed Id,Dataset Grant Number,Dataset Name,Dataset Alias,Dataset Description,Dataset Design,Dataset Assay,Dataset Species,Dataset Tumor Type,Dataset Tissue,Dataset Url,Dataset File Formats,Id,entityId
DatasetView,,39333113,CA217297,3D chromatin architecture of drug-tolerant cancer cells at single-cell resolution [scHi-C],GSE194308,"Anticancer drug therapy generally elicits the drug tolerance after long-term treatment. Recent studies suggested that 3D chromatin structures of cancer cells were intimately linked to drug resistance. However, 3D chromatin structures in drug-tolerant cancer cells at single-cell resolution haven’t been elucidated. Here we performed single-cell Hi-C (scHi-C) analysis to examine the 3D chromatin structures in three stages of breast cancer cells.","To fully understand the 3D chromatin structures of drug-tolerant cancer cells at single-cell resolution, we designed scHi-C approach for analyzing a breast cancer cell model system, MCF7, MCF7M1 and MCF7TR cells. A total of 293 cells (89 MCF7 cells, 91 MCF7M1 cells, 113 MCF7TR cells) were used for scHi-C profiling.","Computational Modeling, Single Cell RNA-Sequencing",Human,Breast Carcinoma,Breast,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194308,,,
DatasetView,,39333113,CA217297,3D chromatin architecture of drug-tolerant cancer cells at single-cell resolution (scRNA-seq dataset),GSE195610,"Anticancer drug therapy generally elicits the drug tolerance after long-term treatment. Recent studies suggested that 3D chromatin structures of cancer cells were intimately linked to drug resistance. However, 3D chromatin structures in drug-tolerant cancer cells at single-cell resolution haven’t been elucidated. Here we performed single-cell Hi-C (scHi-C) analysis to examine the 3D chromatin structures in three stages of breast cancer cells. Then Single-cell RNA-seq data were integrated with scHi-C data.","To fully understand the 3D chromatin structures of drug-tolerant cancer cells at single-cell resolution, we designed scHi-C approach for analyzing a breast cancer cell model system, MCF7, MCF7M1 and MCF7TR cells. A total of 293 cells (89 MCF7 cells, 91 MCF7M1 cells, 113 MCF7TR cells) were used for scHi-C profiling and 22,425 cells (6,172 MCF7 cells, 10,156 MCF7M1 cells, 6,097 MCF7TR cells) were used for single-cell RNA-seq (scRNA-seq) profiling . This is the dataset stored for scRNA-seq data.","Computational Modeling, Single Cell RNA-Sequencing",Human,Breast Carcinoma,Breast,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195610,,,
DatasetView,,39333113,CA217297,3D chromatin architecture of drug-tolerant cancer cells at single-cell resolution,GSE195611,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"Computational Modeling, Single Cell RNA-Sequencing",Human,Breast Carcinoma,Breast,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195611,,,
DatasetView,,39333113,CA217297,3D chromatin architecture of drug-tolerant cancer cells at single-cell resolution (Reference dataset of population cells.,GSE195810,"Anticancer drug therapy generally elicits the drug tolerance after long-term treatment. Recent studies suggested that 3D chromatin structures of cancer cells were intimately linked to drug resistance. However, 3D chromatin structures in drug-tolerant cancer cells at single-cell resolution haven’t been elucidated. Here we performed single-cell Hi-C (scHi-C) analysis to examine the 3D chromatin structures in three stages of breast cancer cells. Population cells Hi-C data as the reference.","To fully understand the 3D chromatin structures of drug-tolerant cancer cells at single-cell resolution, we designed scHi-C approach for analyzing a breast cancer cell model system, MCF7, MCF7M1 and MCF7TR cells. A total of 293 cells (89 MCF7 cells, 91 MCF7M1 cells, 113 MCF7TR cells) were used for scHi-C profiling. Population cells Hi-C data as the reference. This is the dataset stored for population cells.","Computational Modeling, Single Cell RNA-Sequencing",Human,Breast Carcinoma,Breast,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195810,,,
DatasetView,,39333113,CA217297,3D chromatin architecture of drug-tolerant cancer cells at single-cell resolution (scDNA-seq dataset),GSE239435,"Anticancer drug therapy generally elicits the drug tolerance after long-term treatment. Recent studies suggested that 3D chromatin structures of cancer cells were intimately linked to drug resistance. However, 3D chromatin structures in drug-tolerant cancer cells at single-cell resolution haven’t been elucidated. Here we performed single-cell Hi-C (scHi-C) analysis to examine the 3D chromatin structures in three stages of breast cancer cells. Then Single-cell RNA-seq data were integrated with scHi-C data. scDNA-seq data were also been generated.","To fully understand the 3D chromatin structures of drug-tolerant cancer cells at single-cell resolution, we designed scHi-C approach for analyzing a breast cancer cell model system, MCF7, MCF7M1 and MCF7TR cells. A total of 293 cells (89 MCF7 cells, 91 MCF7M1 cells, 113 MCF7TR cells) were used for scHi-C profiling and 22,425 cells (6,172 MCF7 cells, 10,156 MCF7M1 cells, 6,097 MCF7TR cells) were used for single-cell RNA-seq (scRNA-seq) profiling . Total of 105 cells (33 of MCF7 cells, 33 of MCF7M1 and 39 of MCFTR cells) were used for single-cell DNA-seq (scDNA-seq) profiling This is the dataset stored for scDNA-seq data.","Computational Modeling, Single Cell RNA-Sequencing",Human,Breast Carcinoma,Breast,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239435,,,
DatasetView,,38823395,CA225088,A myeloid maturation program initiated by nucleotide depletion during S phase [CRISPRi screen],GSE211065,"Certain cancers, such as acute myeloid leukemia (AML), are caused by malignant stem cells that fail maturation. We sought to mechanistically understand how metabolism might regulate cell fate decisions and to identify metabolic differentiation agents that might be leveraged therapeutically.  We find that nucleotide – purine, pyrimidine, and deoxynucleotide – depletion leads to AML differentiation by way of replication stress. Modulation of nucleotide pools leads to transcriptional reprogramming, epigenetic remodeling, and initiation of differentiation which is dependent on the myeloid regulating transcription-factor PU.1. By single-cell RNA sequencing and microscopy, we find that reprogramming downstream of nucleotide depletion occurs as cells undergo replication stress and that the cell fate decision is initiated prior to completion of the cell cycle. Together, these findings suggest that nucleotide metabolism is a critical determinant of hematopoietic progenitor cell fate, clarify the coordination of the fate decision with the cell cycle, and expand upon the class of inhibitors that can be developed or repurposed as novel differentiation therapy.","Genome-wide and sublibrary CRISPRi screens were performed in ER-Hoxa9, THP-1, and K562 cells with and without BRQ treatment.",Computational Modeling,Multispecies,Acute Myeloid Leukemia ,Blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211065,,,
DatasetView,,38823395,CA225089,Nucleotide depletion promotes cell fate transitions by inducing DNA replication stress,GSE172335,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,Computational Modeling,Multispecies,Acute Myeloid Leukemia ,Blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172335,,,
DatasetView,,38823395,CA225090,A myeloid maturation program initiated by nucleotide depletion during S phase [Cut & Run],GSE172296,"Certain cancers, such as acute myeloid leukemia (AML), are caused by malignant stem cells that fail maturation. We sought to mechanistically understand how metabolism might regulate cell fate decisions and to identify metabolic differentiation agents that might be leveraged therapeutically.  We find that nucleotide – purine, pyrimidine, and deoxynucleotide – depletion leads to AML differentiation by way of replication stress. Modulation of nucleotide pools leads to transcriptional reprogramming, epigenetic remodeling, and initiation of differentiation which is dependent on the myeloid regulating transcription-factor PU.1. By single-cell RNA sequencing and microscopy, we find that reprogramming downstream of nucleotide depletion occurs as cells undergo replication stress and that the cell fate decision is initiated prior to completion of the cell cycle. Together, these findings suggest that nucleotide metabolism is a critical determinant of hematopoietic progenitor cell fate, clarify the coordination of the fate decision with the cell cycle, and expand upon the class of inhibitors that can be developed or repurposed as novel differentiation therapy.","Cell lines were treated with vehicle or drug for the indicated time, and CUT&RUN was performed with the indicated antibodies.",Computational Modeling,Multispecies,Acute Myeloid Leukemia ,Blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172296,,,
DatasetView,,38823395,CA225091,A myeloid maturation program initiated by nucleotide depletion during S phase [ATAC-Seq],GSE172299,"Certain cancers, such as acute myeloid leukemia (AML), are caused by malignant stem cells that fail maturation. We sought to mechanistically understand how metabolism might regulate cell fate decisions and to identify metabolic differentiation agents that might be leveraged therapeutically.  We find that nucleotide – purine, pyrimidine, and deoxynucleotide – depletion leads to AML differentiation by way of replication stress. Modulation of nucleotide pools leads to transcriptional reprogramming, epigenetic remodeling, and initiation of differentiation which is dependent on the myeloid regulating transcription-factor PU.1. By single-cell RNA sequencing and microscopy, we find that reprogramming downstream of nucleotide depletion occurs as cells undergo replication stress and that the cell fate decision is initiated prior to completion of the cell cycle. Together, these findings suggest that nucleotide metabolism is a critical determinant of hematopoietic progenitor cell fate, clarify the coordination of the fate decision with the cell cycle, and expand upon the class of inhibitors that can be developed or repurposed as novel differentiation therapy.",Cell lines were treated with vehicle or drug for the indicated times and ATACseq was performed.,Computational Modeling,Multispecies,Acute Myeloid Leukemia ,Blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172299,,,
DatasetView,,38823395,CA225092,A myeloid maturation program initiated by nucleotide depletion during S phase [ery_scrnaseq],GSE262392,"Certain cancers, such as acute myeloid leukemia (AML), are caused by malignant stem cells that fail maturation. We sought to mechanistically understand how metabolism might regulate cell fate decisions and to identify metabolic differentiation agents that might be leveraged therapeutically. We find that nucleotide – purine, pyrimidine, and deoxynucleotide – depletion leads to AML differentiation by way of replication stress. Modulation of nucleotide pools leads to transcriptional reprogramming, epigenetic remodeling, and initiation of differentiation which is dependent on the myeloid regulating transcription-factor PU.1. By single-cell RNA sequencing and microscopy, we find that reprogramming downstream of nucleotide depletion occurs as cells undergo replication stress and that the cell fate decision is initiated prior to completion of the cell cycle. Together, these findings suggest that nucleotide metabolism is a critical determinant of hematopoietic progenitor cell fate, clarify the coordination of the fate decision with the cell cycle, and expand upon the class of inhibitors that can be developed or repurposed as novel differentiation therapy.","scRNAseq was performed on erythroid progenitors differentiated from human CD34+ HSPCs at day 11 and 14; they were treated with DMSO, HU, or APH starting at day 7.",Computational Modeling,Multispecies,Acute Myeloid Leukemia ,Blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262392,,,
