File Paths,target_id
./output/output_june/CA184898_publication.csv,syn32698262
./output/output_june/CA210184_publication.csv,syn32698226
./output/output_june/CA274499_publication.csv,syn43447156
./output/output_june/CA210173_publication.csv,syn32698222
./output/output_june/CA263001_publication.csv,syn43447092
./output/output_june/CA261822_publication.csv,syn32698502
./output/output_june/CA274502_publication.csv,syn43447174
./output/output_june/CA209975_publication.csv,syn32698159
./output/output_june/CA217376_publication.csv,syn32698091
./output/output_june/CA217378_publication.csv,syn32698086
./output/output_june/CA253540_publication.csv,syn32698462
./output/output_june/CA224012_publication.csv,syn35270567
./output/output_june/CA214354_publication.csv,syn32698033
./output/output_june/CA268083_publication.csv,syn35270525
./output/output_june/CA250040_publication.csv,syn32698315
./output/output_june/CA224044_publication.csv,syn35270583
./output/output_june/CA209992_publication.csv,syn32698178
./output/output_june/CA241137_publication.csv,syn35270505
./output/output_june/CA243075_publication.csv,syn32698431
./output/output_june/CA210180_publication.csv,syn32698217
./output/output_june/CA264583_publication.csv,syn35270603
./output/output_june/CA271273_publication.csv,syn43447120
./output/output_june/CA199315_publication.csv,syn32698278
./output/output_june/CA253553_publication.csv,syn32698451
./output/output_june/CA193417_publication.csv,syn32698194
./output/output_june/CA231978_publication.csv,syn32698100
./output/output_june/CA254886_publication.csv,syn32698517
./output/output_june/CA274509_publication.csv,syn43447186
./output/output_june/CA202123_publication.csv,syn32698231
./output/output_june/CA225088_publication.csv,syn32698012
./output/output_june/CA261694_publication.csv,syn35270536
./output/output_june/CA214411_publication.csv,syn32698362
./output/output_june/CA209988_publication.csv,syn32698270
./output/output_june/CA244100_publication.csv,syn32698334
./output/output_june/CA264610_publication.csv,syn32698493
./output/output_june/CA232382_publication.csv,syn32698080
./output/output_june/CA210190_publication.csv,syn32698191
./output/output_june/CA209891_publication.csv,syn32698008
./output/output_june/CA209978_publication.csv,syn32698256
./output/output_june/CA238720_publication.csv,syn32698104
./output/output_june/CA210152_publication.csv,syn32698024
./output/output_june/CA268069_publication.csv,syn35270515
./output/output_june/CA250044_publication.csv,syn32698508
./output/output_june/CA210181_publication.csv,syn32698212
