File Paths,target_id,grantId
./output/master_output_upload/CA210184_publication.csv,syn32698226,syn7349770
./output/master_output_upload/CA264620_publication.csv,syn32698497,syn32406002
./output/master_output_upload/CA274499_publication.csv,syn43447156,syn43447144
./output/master_output_upload/CA210173_publication.csv,syn32698222,syn7349766
./output/master_output_upload/CA251443_publication.csv,syn35270499,syn35270497
./output/master_output_upload/CA263001_publication.csv,syn43447092,syn43447081
./output/master_output_upload/CA217655_publication.csv,syn32698018,syn17083754
./output/master_output_upload/CA217297_publication.csv,syn32698273,syn9773346
./output/master_output_upload/CA193461_publication.csv,syn32698203,syn7349757
./output/master_output_upload/CA215845_publication.csv,syn32698289,syn9775651
./output/master_output_upload/CA217514_publication.csv,syn35270557,syn35270554
./output/master_output_upload/CA268072_publication.csv,syn35270530,syn35270528
./output/master_output_upload/CA224013_publication.csv,syn35270551,syn35270549
./output/master_output_upload/CA274502_publication.csv,syn43447174,syn43447168
./output/master_output_upload/CA209975_publication.csv,syn32698159,syn7315805
./output/master_output_upload/CA217376_publication.csv,syn32698091,syn18435688
./output/master_output_upload/CA253248_publication.csv,syn35270482,syn35270480
./output/master_output_upload/CA217378_publication.csv,syn32698086,syn18145018
./output/master_output_upload/CA253540_publication.csv,syn32698462,syn32405993
./output/master_output_upload/CA243072_publication.csv,syn32698423,syn22117059
./output/master_output_upload/CA224012_publication.csv,syn35270567,syn35270565
./output/master_output_upload/CA232161_publication.csv,syn32698075,syn17084104
./output/master_output_upload/CA193489_publication.csv,syn32698198,syn7349753
./output/master_output_upload/CA268084_publication.csv,syn52499923,syn35270769
./output/master_output_upload/CA268083_publication.csv,syn35270525,syn35270523
./output/master_output_upload/CA224044_publication.csv,syn35270583,syn35270581
./output/master_output_upload/CA249799_publication.csv,syn35270472,syn35270470
./output/master_output_upload/CA253472_publication.csv,syn32698457,syn32405991
./output/master_output_upload/CA241137_publication.csv,syn35270505,syn35270502
./output/master_output_upload/CA253547_publication.csv,syn32698467,syn32405994
./output/master_output_upload/CA235747_publication.csv,syn35270598,syn35270596
./output/master_output_upload/CA232137_publication.csv,syn32698071,syn17084099
./output/master_output_upload/CA261717_publication.csv,syn35270541,syn35270539
./output/master_output_upload/CA210180_publication.csv,syn32698217,syn7349764
./output/master_output_upload/CA274492_publication.csv,syn43447140,syn43447131
./output/master_output_upload/CA264583_publication.csv,syn35270603,syn35270601
./output/master_output_upload/CA261701_publication.csv,syn35270546,syn35270544
./output/master_output_upload/CA214282_publication.csv,syn32698029,syn17083844
./output/master_output_upload/CA271273_publication.csv,syn43447120,syn43447109
./output/master_output_upload/CA209971_publication.csv,syn32698166,syn7315808
./output/master_output_upload/CA253553_publication.csv,syn32698451,syn23651457
./output/master_output_upload/CA217450_publication.csv,syn32698096,syn18435914
./output/master_output_upload/CA193417_publication.csv,syn32698194,syn7349747
./output/master_output_upload/CA254886_publication.csv,syn32698517,syn32406007
./output/master_output_upload/CA274509_publication.csv,syn43447186,syn43447178
./output/master_output_upload/CA256481_publication.csv,syn35270487,syn35270485
./output/master_output_upload/CA202123_publication.csv,syn32698231,syn7416702
./output/master_output_upload/CA225088_publication.csv,syn32698012,syn12051865
./output/master_output_upload/CA261694_publication.csv,syn35270536,syn35270534
./output/master_output_upload/CA238728_publication.csv,syn32698438,syn22092596
./output/master_output_upload/CA220378_publication.csv,syn32698058,syn17084088
./output/master_output_upload/CA256054_publication.csv,syn35270510,syn35270508
./output/master_output_upload/CA214411_publication.csv,syn32698362,syn22116892
./output/master_output_upload/CA225566_publication.csv,syn32698345,syn22115085
./output/master_output_upload/CA250481_publication.csv,syn32698521,syn32406009
./output/master_output_upload/CA209988_publication.csv,syn32698270,syn9773345
./output/master_output_upload/CA232517_publication.csv,syn32698413,syn22116900
./output/master_output_upload/CA193419_publication.csv,syn32698186,syn7349742
./output/master_output_upload/CA232382_publication.csv,syn32698080,syn17084109
./output/master_output_upload/CA210190_publication.csv,syn32698191,syn7349745
./output/master_output_upload/CA209891_publication.csv,syn32698008,syn10140998
./output/master_output_upload/CA209978_publication.csv,syn32698256,syn9771796
./output/master_output_upload/CA238720_publication.csv,syn32698104,syn21619070
./output/master_output_upload/CA268069_publication.csv,syn35270515,syn35270513
./output/master_output_upload/CA241927_publication.csv,syn32698394,syn22116897
./output/master_output_upload/CA250044_publication.csv,syn32698508,syn32406004
./output/master_output_upload/CA210181_publication.csv,syn32698212,syn7349762
