File Paths,folderIdPublication
./output/output_oct/CA210184_publication.csv,syn32698226
./output/output_oct/CA284090_publication.csv,syn53212987
./output/output_oct/CA274499_publication.csv,syn43447156
./output/output_oct/CA210173_publication.csv,syn32698222
./output/output_oct/CA251443_publication.csv,syn35270499
./output/output_oct/CA263001_publication.csv,syn43447092
./output/output_oct/CA217514_publication.csv,syn35270557
./output/output_oct/CA214297_publication.csv,syn32698320
./output/output_oct/CA268072_publication.csv,syn35270530
./output/output_oct/CA224013_publication.csv,syn35270551
./output/output_oct/CA274502_publication.csv,syn43447174
./output/output_oct/CA209975_publication.csv,syn32698159
./output/output_oct/CA217376_publication.csv,syn32698091
./output/output_oct/CA217378_publication.csv,syn32698086
./output/output_oct/CA253540_publication.csv,syn32698462
./output/output_oct/CA224012_publication.csv,syn35270567
./output/output_oct/CA214354_publication.csv,syn32698033
./output/output_oct/CA202177_publication.csv,syn32698236
./output/output_oct/CA217377_publication.csv,syn32698266
./output/output_oct/CA268084_publication.csv,syn52499923
./output/output_oct/CA268083_publication.csv,syn35270525
./output/output_oct/CA250040_publication.csv,syn32698315
./output/output_oct/CA209992_publication.csv,syn32698178
./output/output_oct/CA243075_publication.csv,syn32698431
./output/output_oct/CA232137_publication.csv,syn32698071
./output/output_oct/CA280849_publication.csv,syn53212962
./output/output_oct/CA227550_publication.csv,syn32698064
./output/output_oct/CA209971_publication.csv,syn32698166
./output/output_oct/CA274506_publication.csv,syn32698150
./output/output_oct/CA199315_publication.csv,syn32698278
./output/output_oct/CA253553_publication.csv,syn32698451
./output/output_oct/CA217450_publication.csv,syn32698096
./output/output_oct/CA214300_publication.csv,syn32698367
./output/output_oct/CA231978_publication.csv,syn32698100
./output/output_oct/CA202123_publication.csv,syn32698231
./output/output_oct/CA225088_publication.csv,syn32698012
./output/output_oct/CA261694_publication.csv,syn35270536
./output/output_oct/CA225566_publication.csv,syn32698345
./output/output_oct/CA209988_publication.csv,syn32698270
./output/output_oct/CA232517_publication.csv,syn32698413
./output/output_oct/CA274511_publication.csv,syn53212942
./output/output_oct/CA244100_publication.csv,syn32698334
./output/output_oct/CA282451_publication.csv,syn53212972
./output/output_oct/CA209891_publication.csv,syn32698008
./output/output_oct/CA238720_publication.csv,syn32698104
./output/output_oct/CA244107_publication.csv,syn32698325
./output/output_oct/CA210152_publication.csv,syn32698024
./output/output_oct/CA241927_publication.csv,syn32698394
./output/output_oct/CA210181_publication.csv,syn32698212
