Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA274499,CSBC,"Oncogenic Stress, Metabolism",10.1016/j.celrep.2024.114775,Cell Rep,39305483,https://pubmed.ncbi.nlm.nih.gov/39305483,Multivariate analysis of metabolic state vulnerabilities across diverse cancer contexts reveals synthetically lethal associations,2024,"Oxidative phosphorylation, Glioma, PTEN, Mitochondrial electron transport chain, Multivariate Modeling, Synthetic Lethality, Cancer Metabolism, Cancer Therapies, Cp: Cancer, Cp: Metabolism, Metabolic State Vulnerabilities","Cara Abecunas, Audrey D Kidd, Ying Jiang, Hui Zong, Mohammad Fallahi-Sichani","Targeting the distinct metabolic needs of tumor cells has recently emerged as a promising strategy for cancer therapy. The heterogeneous, context-dependent nature of cancer cell metabolism, however, poses challenges to identifying effective therapeutic interventions. Here, we utilize various unsupervised and supervised multivariate modeling approaches to systematically pinpoint recurrent metabolic states within hundreds of cancer cell lines, elucidate their association with tumor lineage and growth environments, and uncover vulnerabilities linked to their metabolic states across diverse genetic and tissue contexts. We validate key findings via analysis of data from patient-derived tumors and pharmacological screens and by performing genetic and pharmacological experiments. Our analysis uncovers synthetically lethal associations between the tumor metabolic state (e.g., oxidative phosphorylation), driver mutations (e.g., loss of tumor suppressor PTEN), and actionable biological targets (e.g., mitochondrial electron transport chain). Investigating the mechanisms underlying these relationships can inform the development of more precise and context-specific, metabolism-targeted cancer therapies.","Western Blotting, RNA Sequencing, Cell Culture",Pan-Cancer,Not Applicable,,Open Access
PublicationView,CA231978,CSBC,"Heterogeneity, Drug Resistance/Sensitivity",10.1016/j.coisb.2019.09.003,Curr Opin Syst Biol,37736115,https://pubmed.ncbi.nlm.nih.gov/37736115,Modeling genetic heterogeneity of drug response and resistance in cancer,2019,,"Teemu D Laajala, Travis Gerke, Svitlana Tyekucheva, James C Costello","Heterogeneity in tumors is recognized as a key contributor to drug resistance and spread of advanced disease, but deep characterization of genetic variation within tumors has only recently been quantifiable with the advancement of next generation sequencing and single cell technologies. These data have been essential in developing molecular models of how tumors develop, evolve, and respond to environmental changes, such as therapeutic intervention. A deeper understanding of tumor evolution has subsequently opened up new research efforts to develop mathematical models that account for evolutionary dynamics with the goal of predicting drug response and resistance in cancer. Here, we describe recent advances and limitations of how models of tumor evolution can impact treatment strategies for cancer patients.",,,,,Open Access
PublicationView,CA232517,TEC,"Microenvironment, Metastasis",10.1126/sciadv.adl4463,Sci Adv,38669327,https://pubmed.ncbi.nlm.nih.gov/38669327,The role of Piezo1 mechanotransduction in high-grade serous ovarian cancer: Insights from an in vitro model of collective detachment,2024,,"Hannah M Micek, Ning Yang, Mayuri Dutta, Lauren Rosenstock, Yicheng Ma, Caitlin Hielsberg, Molly McCord, Jacob Notbohm, Stephanie McGregor, Pamela K Kreeger","Slowing peritoneal spread in high-grade serous ovarian cancer (HGSOC) would improve patient prognosis and quality of life. HGSOC spreads when single cells and spheroids detach, float through the peritoneal fluid and take over new sites, with spheroids thought to be more aggressive than single cells. Using our in vitro model of spheroid collective detachment, we determine that increased substrate stiffness led to the detachment of more spheroids. We identified a mechanism where Piezo1 activity increased MMP-1/MMP-10, decreased collagen I and fibronectin, and increased spheroid detachment. Piezo1 expression was confirmed in omental masses from patients with stage III/IV HGSOC. Using OV90 and CRISPR-modified <i>PIEZO1</i><sup>-/-</sup> OV90 in a mouse xenograft model, we determined that while both genotypes efficiently took over the omentum, loss of Piezo1 significantly decreased ascitic volume, tumor spheroids in the ascites, and the number of macroscopic tumors in the mesentery. These results support that slowing collective detachment may benefit patients and identify Piezo1 as a potential therapeutic target.",,,,,Open Access
PublicationView,CA232517,TEC,"Microenvironment, Metastasis",10.3390/cancers16081560,Cancers (Basel),38672642,https://pubmed.ncbi.nlm.nih.gov/38672642,A Perspective Review: Analyzing Collagen Alterations in Ovarian Cancer by High-Resolution Optical Microscopy,2024,"Clinical interventions, High-grade Serous Ovarian Cancer, Collagen Reorganization, Ecm Alterations","Kristal L Gant, Manish S Patankar, Paul J Campagnola","High-grade serous ovarian cancer (HGSOC) is the predominant subtype of ovarian cancer (OC), occurring in more than 80% of patients diagnosed with this malignancy. Histological and genetic analysis have confirmed the secretory epithelial of the fallopian tube (FT) as a major site of origin of HGSOC. Although there have been significant strides in our understanding of this disease, early stage detection and diagnosis are still rare. Current clinical imaging modalities lack the ability to detect early stage pathogenesis in the fallopian tubes and the ovaries. However, there are several microscopic imaging techniques used to analyze the structural modifications in the extracellular matrix (ECM) protein collagen in ex vivo FT and ovarian tissues that potentially can be modified to fit the clinical setting. In this perspective, we evaluate and compare the myriad of optical tools available to visualize these alterations and the invaluable insights these data provide on HGSOC initiation. We also discuss the clinical implications of these findings and how these data may help novel tools for early diagnosis of HGSOC.",,,,,Open Access
PublicationView,"CA253553, CA210181","PS-ON, CSBC","Microenvironment, Heterogeneity, Tumor-Immune, Metabolism",10.1172/jci.insight.165356,JCI Insight,38912586,https://pubmed.ncbi.nlm.nih.gov/38912586,Adjuvant COX inhibition augments STING signaling and cytolytic T cell infiltration in irradiated 4T1 tumors,2024,"Breast cancer, Inflammation, Oncology, adaptive immunity","Lisa A Ridnour, Robert Ys Cheng, Noemi Kedei, Veena Somasundaram, Dibyangana D Bhattacharyya, Debashree Basudhar, Adelaide L Wink, Abigail J Walke, Caleb Kim, William F Heinz, Elijah F Edmondson, Donna O Butcher, Andrew C Warner, Tiffany H Dorsey, Milind Pore, Robert J Kinders, Stanley Lipkowitz, Richard J Bryant, Jens Rittscher, Stephen Tc Wong, Stephen M Hewitt, Jenny C Chang, Aliaa Shalaby, Grace M Callagy, Sharon A Glynn, Stefan Ambs, Stephen K Anderson, Daniel W McVicar, Stephen J Lockett, David A Wink","Immune therapy is the new frontier of cancer treatment. Therapeutic radiation is a known inducer of immune response and can be limited by immunosuppressive mediators including cyclooxygenase-2 (COX2) that is highly expressed in aggressive triple negative breast cancer (TNBC). A clinical cohort of TNBC tumors revealed poor radiation therapeutic efficacy in tumors expressing high COX2. Herein, we show that radiation combined with adjuvant NSAID (indomethacin) treatment provides a powerful combination to reduce both primary tumor growth and lung metastasis in aggressive 4T1 TNBC tumors, which occurs in part through increased antitumor immune response. Spatial immunological changes including augmented lymphoid infiltration into the tumor epithelium and locally increased cGAS/STING1 and type I IFN gene expression were observed in radiation-indomethacin-treated 4T1 tumors. Thus, radiation and adjuvant NSAID treatment shifts ""immune desert phenotypes"" toward antitumor M1/TH1 immune mediators in these immunologically challenging tumors. Importantly, radiation-indomethacin combination treatment improved local control of the primary lesion, reduced metastatic burden, and increased median survival when compared with radiation treatment alone. These results show that clinically available NSAIDs can improve radiation therapeutic efficacy through increased antitumor immune response and augmented local generation of cGAS/STING1 and type I IFNs.",,,,"SRX24350068, SRX24350051, SRX24350113, SRX24350088, SRX24350086, SRX24350122, SRX24350126, SRX24350140, SRX24350120, SRX24350077, SRX24350142, SRX24350075, SRX24350134, SRX24350111, SRX24350117, SRX24350101, SRX24350066, SRX24350110, SRX24350136, SRX24350107, SRX24350062, SRX24350132, SRX24350090, SRX24350104, SRX24350095, SRX24350082, SRX24350093, SRX24350084, SRX24350124, SRX24350053, SRX24350102, SRX24350144, SRX24350108, SRX24350099, SRX24350070, SRX24350060, SRX24350098, SRX24350112, SRX24350054, SRX24350130, SRX24350116, SRX24350092, SRX24350071, SRX24350143, SRX24350097, SRX24350118, SRX24350121, SRX24350128, SRX24350129, SRX24350115, SRX24350056, SRX24350061, SRX24350057, SRX24350079, SRX24350067, SRX24350083, SRX24350100, SRX24350094, SRX24350125, SRX24350133, SRX24350105, SRX24350127, SRX24350089, SRX24350063, SRX24350138, SRP503680, SRX24350135, SRX24350114, SRX24350137, SRX24350131, SRX24350069, SRX24350123, SRX24350091, SRX24350109, SRX24350081, SRX24350085, SRX24350139, SRX24350080, SRX24350119, SRX24350058, SRX24350087, SRX24350076, SRX24350055, SRX24350103, SRX24350052, SRX24350059, SRX24350072, SRX24350073, SRX24350141, SRX24350074, SRX24350065, SRX24350078, SRX24350096, GSE264712, SRX24350106, SRX24350064",Open Access
PublicationView,CA199315,ICBP,"Microenvironment, Heterogeneity",10.1172/jci164227,J Clin Invest,39225101,https://pubmed.ncbi.nlm.nih.gov/39225101,Single-cell analysis of breast cancer metastasis reveals epithelial-mesenchymal plasticity signatures associated with poor outcomes,2024,"Breast cancer, Bioinformatics, Oncology","Juliane Winkler, Weilun Tan, Catherine Mm Diadhiou, Christopher S McGinnis, Aamna Abbasi, Saad Hasnain, Sophia Durney, Elena Atamaniuc, Daphne Superville, Leena Awni, Joyce V Lee, Johanna H Hinrichs, Patrick S Wagner, Namrata Singh, Marco Y Hein, Michael Borja, Angela M Detweiler, Su-Yang Liu, Ankitha Nanjaraj, Vaishnavi Sitarama, Hope S Rugo, Norma Neff, Zev J Gartner, Angela Oliveira Pisco, Andrei Goga, Spyros Darmanis, Zena Werb","Metastasis is the leading cause of cancer-related deaths. It is unclear how intratumor heterogeneity (ITH) contributes to metastasis and how metastatic cells adapt to distant tissue environments. The study of these adaptations is challenged by the limited access to patient material and a lack of experimental models that appropriately recapitulate ITH. To investigate metastatic cell adaptations and the contribution of ITH to metastasis, we analyzed single-cell transcriptomes of matched primary tumors and metastases from patient-derived xenograft models of breast cancer. We found profound transcriptional differences between the primary tumor and metastatic cells. Primary tumors upregulated several metabolic genes, whereas motility pathway genes were upregulated in micrometastases, and stress response signaling was upregulated during progression. Additionally, we identified primary tumor gene signatures that were associated with increased metastatic potential and correlated with patient outcomes. Immune-regulatory control pathways were enriched in poorly metastatic primary tumors, whereas genes involved in epithelial-mesenchymal transition were upregulated in highly metastatic tumors. We found that ITH was dominated by epithelial-mesenchymal plasticity (EMP), which presented as a dynamic continuum with intermediate EMP cell states characterized by specific genes such as CRYAB and S100A2. Elevated expression of an intermediate EMP signature correlated with worse patient outcomes. Our findings identified inhibition of the intermediate EMP cell state as a potential therapeutic target to block metastasis.",,,,,Open Access
PublicationView,CA210184,PS-ON,"Microenvironment, Metastasis, Metabolism",10.1126/sciadv.add0014,Sci Adv,36542704,https://pubmed.ncbi.nlm.nih.gov/36542704,Dissecting the recruitment and self-organization of αSMA-positive fibroblasts in the foreign body response,2022,,"Maria Parlani, Matthew L Bedell, Antonios G Mikos, Peter Friedl, Eleonora Dondossola","The foreign body response (FBR) is a clinically relevant issue that can cause malfunction of implanted medical devices by fibrotic encapsulation. Whereas inflammatory aspects of the FBR have been established, underlying fibroblast-dependent mechanisms remain unclear. We here combine multiphoton microscopy with ad hoc reporter mice expressing α-smooth muscle actin (αSMA) protein to determine the locoregional fibroblast dynamics, activation, and fibrotic encapsulation of polymeric materials. Fibroblasts invaded as individual cells and established a multicellular network, which transited to a two-compartment fibrotic response displaying an αSMA cold external capsule and a long-lasting, inner αSMA hot environment. The recruitment of fibroblasts and extent of fibrosis were only incompletely inhibited after depletion of macrophages, implicating coexistence of macrophage-dependent and macrophage-independent mediators. Furthermore, neither altering material type or porosity modulated αSMA<sup>+</sup> cell recruitment and distribution. This identifies fibroblast activation and network formation toward a two-compartment FBR as a conserved, self-organizing process partially independent of macrophages.",,,,,Open Access
PublicationView,CA209992,CSBC,"Microenvironment, Metastasis",10.1002/mco2.174,MedComm (2020),36186235,https://pubmed.ncbi.nlm.nih.gov/36186235,The value of broad taxonomic comparisons in evolutionary medicine: Disease is not a trait but a <i>state of a trait</i>!,2022,"Pregnancy, Comparative Medicine, Evolutionary Medicine, Variational Traits","Mihaela Pavličev, Günter P Wagner","In this short paper, we argue that there is a fundamental connection between the medical sciences and evolutionary biology as both are sciences of biological variation. Medicine studies pathological variation among humans (and domestic animals in veterinary medicine) and evolutionary biology studies variation within and among species in general. A key principle of evolutionary biology is that genetic differences among species have arisen first from mutations originating within populations. This implies a mechanistic continuity between variation among individuals within a species and variation between species. This fact motivates research that seeks to leverage comparisons among species to unravel the genetic basis of human disease vulnerabilities. This view also implies that genetically caused diseases can be understood as extreme states of an underlying trait, that is, an axis of variation, rather than distinct traits, as often assumed in GWAS studies. We illustrate these points with a number of examples as diverse as anatomical birth defects, cranio-facial variation, preeclampsia and vulnerability to metastatic cancer.",,,,,Open Access
PublicationView,CA251443,TEC,"Microenvironment, Drug Resistance/Sensitivity, Platform Development",10.1038/s42003-022-04320-w,Commun Biol,36658332,https://pubmed.ncbi.nlm.nih.gov/36658332,"Biomechanical, biophysical and biochemical modulators of cytoskeletal remodelling and emergent stem cell lineage commitment",2023,,"Vina D L Putra, Kristopher A Kilian, Melissa L Knothe Tate","Across complex, multi-time and -length scale biological systems, redundancy confers robustness and resilience, enabling adaptation and increasing survival under dynamic environmental conditions; this review addresses ubiquitous effects of cytoskeletal remodelling, triggered by biomechanical, biophysical and biochemical cues, on stem cell mechanoadaptation and emergent lineage commitment. The cytoskeleton provides an adaptive structural scaffold to the cell, regulating the emergence of stem cell structure-function relationships during tissue neogenesis, both in prenatal development as well as postnatal healing. Identification and mapping of the mechanical cues conducive to cytoskeletal remodelling and cell adaptation may help to establish environmental contexts that can be used prospectively as translational design specifications to target tissue neogenesis for regenerative medicine. In this review, we summarize findings on cytoskeletal remodelling in the context of tissue neogenesis during early development and postnatal healing, and its relevance in guiding lineage commitment for targeted tissue regeneration. We highlight how cytoskeleton-targeting chemical agents modulate stem cell differentiation and govern responses to mechanical cues in stem cells' emerging form and function. We further review methods for spatiotemporal visualization and measurement of cytoskeletal remodelling, as well as its effects on the mechanical properties of cells, as a function of adaptation. Research in these areas may facilitate translation of stem cells' own healing potential and improve the design of materials, therapies, and devices for regenerative medicine.",,,,,Open Access
PublicationView,CA214354,PS-ON,"Microenvironment, Tumor-Immune",10.1063/1.5129937,APL Bioeng,32095735,https://pubmed.ncbi.nlm.nih.gov/32095735,From cellular to molecular mechanobiology,2020,,"Cheng Zhu, Cho-Yin Lee, Larry V McIntire","Mechanobiology at the cellular level is concerned with what phenotypes that cells exhibit to maintain homeostasis in their normal physiological mechanical environment, as well as what phenotypical changes that cells have to make when their environment is altered. Mechanobiology at the molecular level aims to understand the molecular underpinning of how cells sense, respond to, and adapt to mechanical cues in their environment. In this Perspective, we use our work inspired by and in collaboration with Professor Shu Chien as an example with which we connect the mechanobiology between the cellular and molecular levels. We discuss how physical forces acting on intracellular proteins may impact protein-protein interaction, change protein conformation, crosstalk with biochemical signaling molecules, induce mechanotransduction, and alter the cell structure and function.",,,,,Open Access
