grantNumber,grantIdPublication,folderIdPublication,name
CA184897,syn9775689,syn32698296,publications
CA184898,syn9772917,syn32698262,publications
CA188388,syn9775595,syn10845941,publications
CA193313,syn7349759,syn32698209,publications
CA193417,syn7349747,syn32698194,publications
CA193419,syn7349742,syn32698186,publications
CA193461,syn7349757,syn32698203,publications
CA193489,syn7349753,syn32698198,publications
CA195469,syn9775704,syn32698303,publications
CA199315,syn9774783,syn32698278,publications
CA202123,syn7416702,syn32698231,publications
CA202144,syn7416712,syn32698246,publications
CA202177,syn7416707,syn32698236,publications
CA202229,syn7416714,syn32698251,publications
CA202241,syn7416710,syn32698241,publications
CA209891,syn10140998,syn32698008,publications
CA209923,syn7080714,,
CA209971,syn7315808,syn32698166,publications
CA209975,syn7315805,syn32698159,publications
CA209978,syn9771796,syn32698256,publications
CA209988,syn9773345,syn32698270,publications
CA209992,syn7315810,syn32698178,publications
CA209997,syn53437187,,
CA210152,syn17083789,syn32698024,publications
CA210173,syn7349766,syn32698222,publications
CA210180,syn7349764,syn32698217,publications
CA210181,syn7349762,syn32698212,publications
CA210184,syn7349770,syn32698226,publications
CA210190,syn7349745,syn32698191,publications
CA214282,syn17083844,syn32698029,publications
CA214292,syn22116891,syn32698354,publications
CA214297,syn22115076,syn32698320,publications
CA214300,syn22116893,syn32698367,publications
CA214354,syn17083914,syn32698033,publications
CA214369,syn22116894,syn32698373,publications
CA214381,syn22116895,syn32698379,publications
CA214411,syn22116892,syn32698362,publications
CA215709,syn17084058,syn32698042,publications
CA215794,syn17084062,syn32698047,publications
CA215798,syn17084053,syn32698037,publications
CA215845,syn9775651,syn32698289,publications
CA215848,syn17084080,syn32698053,publications
CA217297,syn9773346,syn32698273,publications
CA217376,syn18435688,syn32698091,publications
CA217377,syn9773338,syn32698266,publications
CA217378,syn18145018,syn32698086,publications
CA217450,syn18435914,syn32698096,publications
CA217456,syn35270576,syn35270578,publications
CA217514,syn35270554,syn35270557,publications
CA217613,syn35270560,syn35270562,publications
