File Paths,target_id
./output/output_sep/CA184898_publication.csv,syn32698262
./output/output_sep/CA210184_publication.csv,syn32698226
./output/output_sep/CA264620_publication.csv,syn32698497
./output/output_sep/CA274499_publication.csv,syn43447156
./output/output_sep/CA210173_publication.csv,syn32698222
./output/output_sep/CA263001_publication.csv,syn43447092
./output/output_sep/CA217297_publication.csv,syn32698273
./output/output_sep/CA193461_publication.csv,syn32698203
./output/output_sep/CA215845_publication.csv,syn32698289
./output/output_sep/CA214297_publication.csv,syn32698320
./output/output_sep/CA268072_publication.csv,syn35270530
./output/output_sep/CA261822_publication.csv,syn32698502
./output/output_sep/CA224013_publication.csv,syn35270551
./output/output_sep/CA274502_publication.csv,syn43447174
./output/output_sep/CA209975_publication.csv,syn32698159
./output/output_sep/CA217376_publication.csv,syn32698091
./output/output_sep/CA253248_publication.csv,syn35270482
./output/output_sep/CA217378_publication.csv,syn32698086
./output/output_sep/CA253540_publication.csv,syn32698462
./output/output_sep/CA224012_publication.csv,syn35270567
./output/output_sep/CA227544_publication.csv,syn32698119
./output/output_sep/CA232161_publication.csv,syn32698075
./output/output_sep/CA214369_publication.csv,syn32698373
./output/output_sep/CA214354_publication.csv,syn32698033
./output/output_sep/CA193489_publication.csv,syn32698198
./output/output_sep/CA227136_publication.csv,syn32698386
./output/output_sep/CA268084_publication.csv,syn52499923
./output/output_sep/CA268083_publication.csv,syn35270525
./output/output_sep/CA250040_publication.csv,syn32698315
./output/output_sep/CA224044_publication.csv,syn35270583
./output/output_sep/CA209992_publication.csv,syn32698178
./output/output_sep/CA253472_publication.csv,syn32698457
./output/output_sep/CA241137_publication.csv,syn35270505
./output/output_sep/CA253547_publication.csv,syn32698467
./output/output_sep/CA235747_publication.csv,syn35270598
./output/output_sep/CA261842_publication.csv,syn32698479
./output/output_sep/CA261717_publication.csv,syn35270541
./output/output_sep/CA210180_publication.csv,syn32698217
./output/output_sep/CA244109_publication.csv,syn32698339
./output/output_sep/CA274492_publication.csv,syn43447140
./output/output_sep/CA264583_publication.csv,syn35270603
./output/output_sep/CA271273_publication.csv,syn43447120
./output/output_sep/CA199315_publication.csv,syn32698278
./output/output_sep/CA253553_publication.csv,syn32698451
./output/output_sep/CA217450_publication.csv,syn32698096
./output/output_sep/CA193417_publication.csv,syn32698194
./output/output_sep/CA231978_publication.csv,syn32698100
./output/output_sep/CA254886_publication.csv,syn32698517
./output/output_sep/CA274509_publication.csv,syn43447186
./output/output_sep/CA202123_publication.csv,syn32698231
./output/output_sep/CA225088_publication.csv,syn32698012
./output/output_sep/CA261694_publication.csv,syn35270536
./output/output_sep/CA238728_publication.csv,syn32698438
./output/output_sep/CA256054_publication.csv,syn35270510
./output/output_sep/CA214411_publication.csv,syn32698362
./output/output_sep/CA209988_publication.csv,syn32698270
./output/output_sep/CA214292_publication.csv,syn32698354
./output/output_sep/CA244100_publication.csv,syn32698334
./output/output_sep/CA228963_publication.csv,syn32698472
./output/output_sep/CA264610_publication.csv,syn32698493
./output/output_sep/CA232382_publication.csv,syn32698080
./output/output_sep/CA210190_publication.csv,syn32698191
./output/output_sep/CA209891_publication.csv,syn32698008
./output/output_sep/CA209978_publication.csv,syn32698256
./output/output_sep/CA238720_publication.csv,syn32698104
./output/output_sep/CA210152_publication.csv,syn32698024
./output/output_sep/CA268069_publication.csv,syn35270515
./output/output_sep/CA275808_publication.csv,syn43447127
./output/output_sep/CA250044_publication.csv,syn32698508
./output/output_sep/CA210181_publication.csv,syn32698212
./output/output_sep/CA243004_publication.csv,syn32698444
